category,subcategory,description,price_eu,compare,brand,supermercado
Despensa,Aperitivos y frutos secos,Aceitunas Manzanilla sin Hueso Bolsa 75 Gr,0.9,"12,00 € / 1 Kg",Jolca,CONSUM
Despensa,Aperitivos y frutos secos,Apetinas Ketchup Bolsa 90 Gr,1.39,"15,44 € / 1 Kg",Tosfrit,CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Lisas Artesanas Bolsa Papel 2 x 135 Gr,3.19,"11,81 € / 1 Kg",Santa ana,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Negras Hueso Lata 185 Gr,1.25,"6,76 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Rellenas de Anchoas 150 Gr,1.14,"7,60 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Rellenas de Anchoas Pack de 3 3 x 50 Gr,1.75,"11,67 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Pipas Tostadas con Sal Bolsa 250 Gr,1.45,"5,80 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Manzanilla con Hueso en Frasco 250 Gr,1.75,"7,00 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Sabor Anchoa con Hueso en Frasco 250 Gr,1.95,"7,80 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Tortilla Chip Sal 200 Gr,1.65,"8,25 € / 1 Kg",Zanuy,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Rellenas de Anchoas Pack de 3 3 x 50 Gr,3.15,"21,00 € / 1 Kg",Jolca,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Rellenas Anchoa Cantábrico Lata 150 Gr,2.39,"15,93 € / 1 Kg",Jolca,CONSUM
Despensa,Aperitivos y frutos secos,Mega Mix Snacks Bolsa 140 Gr,1.1,"7,86 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Conos de Maíz Sabor Queso-Bacon 80 Gr,0.65,"8,13 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Lisas Bolsa Papel 300 Gr,1.75,"5,83 € / 1 Kg",Consum,CONSUM
