description,product_code,category,subcategory,pr_23,pr_24
"Cayena guindillas Hacendado",34178,"Aceite, especias y salsas",Especias,1.25,1.3
"Cayena molida Hacendado",37417,"Aceite, especias y salsas",Especias,1.54,1.59
"Cúrcuma Hacendado",34163,"Aceite, especias y salsas",Especias,1.25,1.25
"Jengibre molido Hacendado",34149,"Aceite, especias y salsas",Especias,1.6,1.65
"Sal de ajo Hacendado",34130,"Aceite, especias y salsas",Especias,1.75,1.8
"Sal de ajo Hacendado",34130,"Aceite, especias y salsas",Especias,1.75,1.8
"Sal de ajo Hacendado",34130,"Aceite, especias y salsas","Aceite, vinagre y sal",1.75,1.8
"Sal de ajo Hacendado",34130,"Aceite, especias y salsas","Aceite, vinagre y sal",1.75,1.8
"Clavo en grano Hacendado",34122,"Aceite, especias y salsas",Especias,1.75,1.75
"Piñones Hacendado",60869,"Aceite, especias y salsas",Especias,2.84,2.84
"Sazonador para fajitas Hacendado sabor tex-mex",23353,"Aceite, especias y salsas",Especias,0.85,0.85
"Sazonador para paella con azafrán Hacendado",34702,"Aceite, especias y salsas",Especias,1.4,1.45
"Sazonador para burritos Hacendado",17147,"Aceite, especias y salsas",Especias,1.1,1.3
"Sazonador pasta Hacendado",34134,"Aceite, especias y salsas",Especias,2.5,2.5
"Mayonesa Hacendado",13406,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.35,1.25
"Mayonesa Hacendado",13407,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.44,1.35
"Mayonesa Hellmann's",17052,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.95,1.95
"Salsa ligera Ligeresa",17039,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",2.65,2.65
"Mayonesa Ybarra",17038,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",2.25,2.25
"Salsa fina Kraft",35361,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",2,2
"Salsa ligera Hacendado",15793,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.35,1.3
"Salsa ligera Hacendado",15794,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.5,1.35
"Ketchup Hacendado",23579,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.3,1.3
"Ketchup Hacendado en sobres individuales",67586,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.4,1.4
"Ketchup zero azúcares añadidos Hacendado",35343,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.6,1.6
"Mostaza a la antigua Hacendado",17229,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.5,1.7
"Mostaza de Dijon Hacendado",17228,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.15,1.25
"Mostaza clásica Hacendado",23410,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.25,1.35
"Allioli Chovi",17150,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.35,1.35
"Allioli Hacendado",17172,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.1,1.1
"Allioli en sobres individuales Hacendado",17173,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.5,1.5
"Tomate frito Hacendado",17132,"Aceite, especias y salsas","Otras salsas",1.45,1.4
"Tomate frito Hacendado",17132,"Aceite, especias y salsas","Otras salsas",1.45,1.4
"Tomate frito Hacendado",17151,"Aceite, especias y salsas","Otras salsas",1.1,1.1
"Tomate frito Hacendado",17151,"Aceite, especias y salsas","Otras salsas",1.1,1.1
"Tomate frito Hacendado",17108,"Aceite, especias y salsas","Otras salsas",1,0.95
"Tomate frito Hacendado",17108,"Aceite, especias y salsas","Otras salsas",1,0.95
"Tomate frito receta artesana Hacendado",17163,"Aceite, especias y salsas","Otras salsas",2.15,2.4
"Tomate frito receta artesana Hacendado",17163,"Aceite, especias y salsas","Otras salsas",2.15,2.4
"Tomate frito receta artesana Hacendado",17131,"Aceite, especias y salsas","Otras salsas",1.6,1.65
"Tomate frito receta artesana Hacendado",17131,"Aceite, especias y salsas","Otras salsas",1.6,1.65
"Tomate frito estilo casero Hacendado",17153,"Aceite, especias y salsas","Otras salsas",1.2,1.3
"Tomate frito estilo casero Hacendado",17153,"Aceite, especias y salsas","Otras salsas",1.2,1.3
"Tomate frito Hacendado con aceite de oliva",17128,"Aceite, especias y salsas","Otras salsas",1.2,1.4
"Tomate frito Hacendado con aceite de oliva",17128,"Aceite, especias y salsas","Otras salsas",1.2,1.4
"Tomate frito sin azúcares añadidos Hacendado",17330,"Aceite, especias y salsas","Otras salsas",1.2,1.2
"Tomate frito sin azúcares añadidos Hacendado",17330,"Aceite, especias y salsas","Otras salsas",1.2,1.2
"Tomate frito con cebolla Hacendado",17154,"Aceite, especias y salsas","Otras salsas",1.35,1.35
"Tomate frito con cebolla Hacendado",17154,"Aceite, especias y salsas","Otras salsas",1.35,1.35
"Salsa barbacoa Hacendado",17346,"Aceite, especias y salsas","Otras salsas",1.15,1.15
"Salsa pimienta verde Hacendado",17502,"Aceite, especias y salsas","Otras salsas",1.25,1.25
"Salsa burger Hacendado",17347,"Aceite, especias y salsas","Otras salsas",1.35,1.35
"Salsa Piri Piri Hacendado",17396,"Aceite, especias y salsas","Otras salsas",1,1
"Salsa fresca Trufa Hacendado",17410,"Aceite, especias y salsas","Otras salsas",1.45,1.45
"Salsa fresca Queso Hacendado",17409,"Aceite, especias y salsas","Otras salsas",1.45,1.45
"Salsa fresca Setas",35184,"Aceite, especias y salsas","Otras salsas",1.6,1.55
"Salsa fresca Carbonara Hacendado",35183,"Aceite, especias y salsas","Otras salsas",1.6,1.55
"Salsa de soja Hacendado",17360,"Aceite, especias y salsas","Otras salsas",1.45,1.45
"Salsa teriyaki Hacendado",17362,"Aceite, especias y salsas","Otras salsas",1.65,1.65
"Salsa agridulce Salsas Asturianas",22721,"Aceite, especias y salsas","Otras salsas",1.7,1.7
"Salsa thai chili dulce J-Lek",22613,"Aceite, especias y salsas","Otras salsas",1.65,1.55
"Salsa de soja sin gluten Hacendado",17382,"Aceite, especias y salsas","Otras salsas",2.5,2.5
"Guacamole Hacendado",3840,"Aceite, especias y salsas","Otras salsas",3.5,3.59
"Guacamole Hacendado",3840,"Aceite, especias y salsas","Otras salsas",3.5,3.59
"Guacamole Hacendado",3852,"Aceite, especias y salsas","Otras salsas",1.75,1.75
"Guacamole Hacendado",3852,"Aceite, especias y salsas","Otras salsas",1.75,1.75
"Salsa yogur Hacendado",17327,"Aceite, especias y salsas","Otras salsas",1.4,1.25
"Salsa yogur Hacendado",17327,"Aceite, especias y salsas","Otras salsas",1.25,1.25
"Salsa Ranch Hacendado",17386,"Aceite, especias y salsas","Otras salsas",1.35,1.35
"Salsa césar Hacendado",17366,"Aceite, especias y salsas","Otras salsas",1.4,1.4
"Aliño de aceite, ajo y perejil Hacendado",17265,"Aceite, especias y salsas","Otras salsas",1.5,1.5
"Salsa de trufas",17259,"Aceite, especias y salsas","Otras salsas",3.1,3.1
"Salsa gajos rústica Hacendado",17348,"Aceite, especias y salsas","Otras salsas",1.35,1.35
"Salsa de queso Hacendado",35344,"Aceite, especias y salsas","Otras salsas",1.75,1.75
"Chili con carne Hacendado",23137,"Aceite, especias y salsas","Otras salsas",2.6,2.65
"Salsa bechamel Knorr",86713,"Aceite, especias y salsas","Otras salsas",2.25,2.25
"Salsa bechamel Knorr",86713,"Aceite, especias y salsas","Otras salsas",2.25,2.25
"Extracto original de buey Bovril",7307,"Aceite, especias y salsas","Otras salsas",3,3
"Salsa cocktail Hacendado",23072,"Aceite, especias y salsas","Otras salsas",1.5,1.5
"Salsa romesco Ferrer",17290,"Aceite, especias y salsas","Otras salsas",1.8,1.8
"Salsa calçots Ferrer",17291,"Aceite, especias y salsas","Otras salsas",2.59,2.69
"Pasta de sésamo Tahini Hacendado",17441,"Aceite, especias y salsas","Otras salsas",2.9,2.95
"Salsa brava Hacendado",35163,"Aceite, especias y salsas","Otras salsas",1.65,1.8
"Agua mineral grande Font Agudes",28039,"Agua y refrescos",Agua,0.86,0.89
"Agua mineral grande Font Agudes",27335,"Agua y refrescos",Agua,0.75,0.78
"Agua mineral grande Font Agudes",26992,"Agua y refrescos",Agua,1.44,1.5
"Agua mineral grande Font Agudes",26993,"Agua y refrescos",Agua,0.24,0.25
"Agua mineral mediana Font Agudes",28572,"Agua y refrescos",Agua,2.4,2.4
"Agua mineral mediana Font Agudes",28573,"Agua y refrescos",Agua,0.4,0.4
"Agua mineral pequeña Font Agudes",27062,"Agua y refrescos",Agua,1.2,1.32
"Agua mineral pequeña Font Agudes",27514,"Agua y refrescos",Agua,0.2,0.22
"Agua mineral pequeña Font Agudes tapón infantil",27576,"Agua y refrescos",Agua,1.32,1.44
"Agua mineral pequeña Font Agudes tapón infantil",27575,"Agua y refrescos",Agua,0.22,0.24
"Agua mineral grande Bronchales",28035,"Agua y refrescos",Agua,1.23,1.26
"Agua mineral grande Bronchales",23448,"Agua y refrescos",Agua,2.22,2.34
"Agua mineral grande Bronchales",23449,"Agua y refrescos",Agua,0.37,0.39
"Agua mineral mediana Bronchales",28491,"Agua y refrescos",Agua,3,3
"Agua mineral mediana Bronchales",28499,"Agua y refrescos",Agua,0.5,0.5
"Agua mineral pequeña Bronchales",27061,"Agua y refrescos",Agua,1.5,1.62
"Agua mineral pequeña Bronchales",27054,"Agua y refrescos",Agua,0.25,0.27
"Agua mineral pequeña Bronchales tapón infantil",28566,"Agua y refrescos",Agua,2.16,2.28
