description,product_code,category,subcategory,pr_23,pr_24
"Lomo de cerdo ibérico adobado",1886,Carne,Cerdo,4.82,4.82
"Callos preparados de ternera Rogusa",2179,Carne,"Empanados y elaborados",3.4,3.75
"Oreja de cerdo cocida adobada Rogusa",2185,Carne,"Empanados y elaborados",3.9,4.25
"Pincho amarillo de cerdo con perejil",3455,Carne,"Empanados y elaborados",4.25,4.1
"Pinchos de pollo adobados",3456,Carne,"Empanados y elaborados",3.98,3.98
"Pinchos de pollo adobados",3456,Carne,"Empanados y elaborados",3.98,3.98
"Pinchos de pollo adobados",3456,Carne,"Aves y pollo",3.98,3.98
"Pinchos de pollo adobados",3456,Carne,"Aves y pollo",3.98,3.98
"Lagrimitas de pollo al limón empanadas sin gluten",21235,Carne,"Empanados y elaborados",2.96,2.92
"Lagrimitas de pollo al limón empanadas sin gluten",21235,Carne,"Empanados y elaborados",2.96,2.92
"Lagrimitas de pollo al limón empanadas sin gluten",21235,Carne,"Aves y pollo",2.96,2.92
"Lagrimitas de pollo al limón empanadas sin gluten",21235,Carne,"Aves y pollo",2.96,2.92
"Fiambre lomo de cerdo adobado",23309,Carne,"Empanados y elaborados",3.5,3.5
"Fiambre lomo de cerdo adobado",23309,Carne,"Empanados y elaborados",3.5,3.5
"Fiambre lomo de cerdo adobado",23309,Carne,Cerdo,3.5,3.5
"Fiambre lomo de cerdo adobado",23309,Carne,Cerdo,3.5,3.5
"Pechugas de pollo rellenas de jamón y queso empanadas sin gluten",21257,Carne,"Empanados y elaborados",4.55,4.55
"Pechugas de pollo rellenas de jamón y queso empanadas sin gluten",21257,Carne,"Empanados y elaborados",4.55,4.55
"Pechugas de pollo rellenas de jamón y queso empanadas sin gluten",21257,Carne,"Aves y pollo",4.55,4.55
"Pechugas de pollo rellenas de jamón y queso empanadas sin gluten",21257,Carne,"Aves y pollo",4.55,4.55
"Libritos de cerdo rellenos de pimiento verde y jamón curado empanados sin gluten",21272,Carne,"Empanados y elaborados",3.84,3.84
"Libritos de cerdo rellenos de pimiento verde y jamón curado empanados sin gluten",21272,Carne,"Empanados y elaborados",3.84,3.84
"Libritos de cerdo rellenos de pimiento verde y jamón curado empanados sin gluten",21272,Carne,Cerdo,3.84,3.84
"Libritos de cerdo rellenos de pimiento verde y jamón curado empanados sin gluten",21272,Carne,Cerdo,3.84,3.84
"Cereales rellenos de leche Hacendado",9264,"Cereales y galletas",Cereales,2.6,2.6
"Mini cereales rellenos de leche Hacendado",9333,"Cereales y galletas",Cereales,1.95,1.95
"Cereales rellenos de chocolate y avellana Hacendado",9377,"Cereales y galletas",Cereales,2.15,2.15
"Cereales copos de maíz Corn Flakes Hacendado 0% azúcares añadidos",22966,"Cereales y galletas",Cereales,1.5,1.5
"Cereales de arroz inflado Choco Rice Hacendado con chocolate",9592,"Cereales y galletas",Cereales,2.1,2.1
"Cereales copos de maíz Corn Flakes Kellogg's",9210,"Cereales y galletas",Cereales,3,3
"Cereales copos de trigo Chocodays Hacendado con chocolate",9508,"Cereales y galletas",Cereales,1.75,1.8
"Cereales copos de maíz Corn Flakes Harvest Home sin gluten",9216,"Cereales y galletas",Cereales,2.59,2.59
"Cereales rellenos de crema de cacao y avellana Hacendado sin gluten",9547,"Cereales y galletas",Cereales,2.25,2.25
"Copos de avena Brüggen",9222,"Cereales y galletas",Cereales,1,0.95
"Muesli Crunchy Hacendado con chocolate",9355,"Cereales y galletas",Cereales,2.1,2.1
"Cereales copos de trigo integral y arroz Hacendado 0% azúcares añadidos",9488,"Cereales y galletas",Cereales,2.1,2.05
"Cereales copos de trigo espelta integral Hacendado 0% azúcares añadidos",9571,"Cereales y galletas",Cereales,1.8,1.75
"Cereales integrales copos de trigo Chocapic Nestlé con chocolate",9257,"Cereales y galletas",Cereales,3.95,3.95
"Muesli Crunchy Hacendado con frutos secos",9357,"Cereales y galletas",Cereales,2,2.1
"Cereales copos de trigo integral y arroz Hacendado bañados en chocolate con leche",9487,"Cereales y galletas",Cereales,2.4,2.35
"Muesli Crunchy Hacendado con fruta",9356,"Cereales y galletas",Cereales,2,2.1
"Cereales All-Bran Kellogg's con chocolate",9394,"Cereales y galletas",Cereales,3,3.5
"Salvado de avena Hacendado",16808,"Cereales y galletas",Cereales,1.65,1.65
"Cereales y semillas granola Hacendado con frutos secos",9474,"Cereales y galletas",Cereales,2.4,2.4
"Cereales con salvado de trigo Fibra Sticks Hacendado",60236,"Cereales y galletas",Cereales,1.8,1.8
"Muesli Hacendado con frutas",9491,"Cereales y galletas",Cereales,2.35,2.3
"Muesli Hacendado 50% frutas y frutos secos",9492,"Cereales y galletas",Cereales,1.95,1.95
"Salvado de trigo integral Hacendado",29340,"Cereales y galletas",Cereales,1.35,1.35
"Muesli Hacendado con quinoa, chía y chocolate negro",9536,"Cereales y galletas",Cereales,2.3,2.25
"Cereales Cereal Mix Hacendado 0% azúcares añadidos",9532,"Cereales y galletas",Cereales,2.7,2.4
"Cereales avena Crunchy Hacendado",15611,"Cereales y galletas",Cereales,2.05,2
"Barritas de cereales Hacendado chocolate con leche",9350,"Cereales y galletas",Cereales,1.45,1.4
"Barritas de cereales Hacendado con chocolate blanco",73249,"Cereales y galletas",Cereales,1.2,1.3
"Barritas de cereales muesli Hacendado con chocolate",9349,"Cereales y galletas",Cereales,1.3,1.4
"Barritas Sustitutivo de comida Belladieta sabor avena y chocolate con leche",86259,"Cereales y galletas",Cereales,3.1,3.1
"Barritas Sustitutivo de comida Belladieta sabor avena y chocolate con leche",86259,"Cereales y galletas",Cereales,3.1,3.1
"Barritas con proteínas Enervit Sport sabor coco y chocolate",9445,"Cereales y galletas",Cereales,3.15,3.15
"Barritas con proteínas Enervit Sport sabor coco y chocolate",9445,"Cereales y galletas",Cereales,3.15,3.15
"Barrita con proteínas Enervit Sport sabor chocolate negro",23670,"Cereales y galletas",Cereales,4.9,4.9
"Barrita con proteínas Enervit Sport sabor chocolate negro",23670,"Cereales y galletas",Cereales,4.9,4.9
"Galletas María dorada Hacendado",14132,"Cereales y galletas",Galletas,1.7,1.6
"Galletas Divertidas con cereales Hacendado",22688,"Cereales y galletas",Galletas,2.15,2.15
"Galletas tostadas Tosta Rica",14087,"Cereales y galletas",Galletas,3,3
"Galletas tostadas Animadas Hacendado",14080,"Cereales y galletas",Galletas,1.8,1.7
"Galletas Relieve Hacendado",14197,"Cereales y galletas",Galletas,1.6,1.5
"Galletas María dorada Hacendado 0% azúcares añadidos",13502,"Cereales y galletas",Galletas,1.55,1.55
"Galletas María Fontaneda",14010,"Cereales y galletas",Galletas,2.95,3.3
"Galletas María sin gluten y sin lactosa Hacendado",14235,"Cereales y galletas",Galletas,1.55,1.55
"Galletas tradicionales Hacendado",14423,"Cereales y galletas",Galletas,2.2,2.2
"Galletas María Hacendado",14102,"Cereales y galletas",Galletas,1.7,1.6
"Galletas canela Hacendado",14430,"Cereales y galletas",Galletas,1.7,1.7
"Galletas Digestive Hacendado",14214,"Cereales y galletas",Galletas,1.8,1.8
"Galletas Digestive avena Hacendado",14213,"Cereales y galletas",Galletas,1.2,1.15
"Galletas Digestive 0% azúcares añadidos Hacendado",14200,"Cereales y galletas",Galletas,1.45,1.45
"Galletas Cereales & fibra Hacendado",14198,"Cereales y galletas",Galletas,1.3,1.25
"Galletas de espelta Hacendado 0% azúcares añadidos",14242,"Cereales y galletas",Galletas,1.3,1.25
"Galletas Digestive fibra 23% Hacendado",14113,"Cereales y galletas",Galletas,1.7,1.7
"Galletas María Integral Hacendado",14006,"Cereales y galletas",Galletas,1.7,1.65
"Galletas Digestive avena Hacendado",14210,"Cereales y galletas",Galletas,1.85,1.85
"Galletas Cookies Hacendado",14212,"Cereales y galletas",Galletas,1,1.2
"Galletas rebuenas Hacendado rellenas de chocolate",14157,"Cereales y galletas",Galletas,1.3,1.2
"Galletas mini Oreo",14030,"Cereales y galletas",Galletas,1.9,1.95
"Galletas Chocominis sabor chocolate Hacendado",14159,"Cereales y galletas",Galletas,2.1,2.05
"Galletas Digestive chocolate con leche Hacendado",14131,"Cereales y galletas",Galletas,1.05,1.05
"Galletas Roditas bañadas con chocolate blanco Hacendado",13811,"Cereales y galletas",Galletas,1.45,1.75
"Galletas mini caritas Hacendado con crema de cacao",14085,"Cereales y galletas",Galletas,1.5,1.35
"Galletas Caocream Hacendado rellenas de crema",15597,"Cereales y galletas",Galletas,1.65,1.6
"Galletas Choco negro con chocolatina Hacendado",14639,"Cereales y galletas",Galletas,1.2,1.25
"Barritas de galleta bañadas en chocolate con leche Chips Ahoy",14133,"Cereales y galletas",Galletas,1.15,1.25
"Galletas mini cookies Hacendado",14161,"Cereales y galletas",Galletas,1.3,1.3
"Galletas con chocolate y crema de leche Hacendado",14038,"Cereales y galletas",Galletas,2.25,2.3
"Galletas Caocream chocolate blanco Hacendado rellenas de crema",14153,"Cereales y galletas",Galletas,1.4,1.35
"Galletas rellenas de chocolate Hacendado 0% azúcares añadidos",15844,"Cereales y galletas",Galletas,1.45,1.4
"Barquillos rellenos sabor nata Hacendado",14576,"Cereales y galletas",Galletas,1,1
"Barquillos rellenos de chocolate Hacendado",14135,"Cereales y galletas",Galletas,1,1
"Galletas con chocolate blanco Hacendado",14151,"Cereales y galletas",Galletas,1.25,1.25
"Barquillos rellenos de nata Hacendado 0% azúcares añadidos",14136,"Cereales y galletas",Galletas,1.15,1.1
"Galletas cookies sin gluten y sin lactosa Hacendado",14637,"Cereales y galletas",Galletas,1.95,1.95
"Galletas Choco leche con chocolatina Hacendado",14641,"Cereales y galletas",Galletas,1.2,1.25
"Galletas María choco Hacendado",14203,"Cereales y galletas",Galletas,1,1.1
"Tartaletes con relleno de fresa Hacendado",14173,"Cereales y galletas",Galletas,1.15,1.1
"Barquillos con crema de avellanas Hacendado",14241,"Cereales y galletas",Galletas,1.5,1.5
"Galletas Diverkao Hacendado",13600,"Cereales y galletas",Galletas,1.75,1.55
"Tubitos bañados chocolate negro Hacendado",14555,Congelados,Helados,2,2.1
"Tubitos bañados chocolate negro Hacendado",14555,Congelados,Helados,2,2.1
"Tubitos bañados chocolate negro Hacendado",14555,"Cereales y galletas",Galletas,2,2.1
"Tubitos bañados chocolate negro Hacendado",14555,"Cereales y galletas",Galletas,2,2.1
"Rosquillas de chocolate con leche y coco Hacendado",13656,"Cereales y galletas",Galletas,1.55,1.65
"Galletas Crunchy Choc Hacendado",23064,"Cereales y galletas",Galletas,2.45,2.4
"Galletas caramelizadas Lotus Biscoff",14140,"Cereales y galletas",Galletas,1.5,1.5
"Galletas con mantequilla Hacendado",14577,"Cereales y galletas",Galletas,1.05,1.05
"Surtido de galletas y barquillos Hacendado",14711,"Cereales y galletas",Galletas,2,2
"Galletas de mantequilla y chocolate Hacendado",13790,"Cereales y galletas",Galletas,2.85,2.85
"Galletas de mantequilla Hacendado Belgas",14581,"Cereales y galletas",Galletas,1.6,1.6
"Surtido de pastas artesanas Hacendado",14587,"Cereales y galletas",Galletas,2.3,2.3
"Obleas redondas Hacendado",14645,"Cereales y galletas",Galletas,2.8,2.45
"Obleas para helado Hacendado",15953,Congelados,Helados,0.7,0.7
"Obleas para helado Hacendado",15953,Congelados,Helados,0.7,0.7
"Obleas para helado Hacendado",15953,"Cereales y galletas",Galletas,0.7,0.7
"Obleas para helado Hacendado",15953,"Cereales y galletas",Galletas,0.7,0.7
"Tubitos Hacendado",36205,Congelados,Helados,1.95,2
"Tubitos Hacendado",36205,Congelados,Helados,1.95,2
"Tubitos Hacendado",36205,"Cereales y galletas",Galletas,1.95,2
"Tubitos Hacendado",36205,"Cereales y galletas",Galletas,1.95,2
"Tortitas de maíz Hacendado",14158,"Cereales y galletas",Tortitas,1.1,1.1
"Tortitas de maíz con chocolate Hacendado",14015,"Cereales y galletas",Tortitas,1.6,1.65
"Tortitas de arroz con chocolate blanco sabor yogur Hacendado",14141,"Cereales y galletas",Tortitas,1.6,1.65
"Tortitas de arroz con chocolate con leche Hacendado",14142,"Cereales y galletas",Tortitas,1.6,1.65
"Pechuga de pavo Hacendado finas lonchas",67972,"Charcutería y quesos","Aves y jamón cocido",3.37,3.37
"Pechuga de pavo finas lonchas Hacendado",60244,"Charcutería y quesos","Aves y jamón cocido",2.07,2.07
"Salchichón de pavo extra Hacendado lonchas",59159,"Charcutería y quesos","Embutido curado",2.49,2.38
"Salchichón de pavo extra Hacendado lonchas",59159,"Charcutería y quesos","Embutido curado",2.49,2.38
"Salchichón de pavo extra Hacendado lonchas",59159,"Charcutería y quesos","Aves y jamón cocido",2.49,2.38
"Salchichón de pavo extra Hacendado lonchas",59159,"Charcutería y quesos","Aves y jamón cocido",2.49,2.38
"Pechuga de pavo 0% m.g Hacendado al corte",59230,"Charcutería y quesos","Aves y jamón cocido",2.09,2.09
"Lomo de pavo Hacendado lonchas",59138,"Charcutería y quesos","Aves y jamón cocido",2.54,2.49
"Lomo de pavo Hacendado lonchas",59138,"Charcutería y quesos","Aves y jamón cocido",2.54,2.49
"Longaniza de pavo extra Hacendado lonchas",59165,"Charcutería y quesos","Embutido curado",2.55,2.38
"Longaniza de pavo extra Hacendado lonchas",59165,"Charcutería y quesos","Embutido curado",2.55,2.38
"Longaniza de pavo extra Hacendado lonchas",59165,"Charcutería y quesos","Aves y jamón cocido",2.55,2.38
"Longaniza de pavo extra Hacendado lonchas",59165,"Charcutería y quesos","Aves y jamón cocido",2.55,2.38
"Tiras de pechuga pollo al horno Hacendado",56652,"Charcutería y quesos","Aves y jamón cocido",2.05,2.05
"Jamón de pavo Hacendado finas lonchas",56619,"Charcutería y quesos","Aves y jamón cocido",1.66,1.66
"Dados de pavo Hacendado",59222,"Charcutería y quesos","Aves y jamón cocido",2.16,2.16
"Tiras de pechuga de pollo al natural Hacendado",56661,"Charcutería y quesos","Aves y jamón cocido",2.05,2.05
"Longaniza de pollo extra Hacendado sticks para picar",59081,"Charcutería y quesos","Aves y jamón cocido",1.1,1.1
"Pechuga de pollo braseada Hacendado finas lonchas",56169,"Charcutería y quesos","Aves y jamón cocido",2.15,2.15
"Mortadela de pavo Hacendado finas lonchas",59336,"Charcutería y quesos","Chopped y mortadela",1.19,1.19
"Mortadela de pavo Hacendado finas lonchas",59336,"Charcutería y quesos","Chopped y mortadela",1.19,1.19
"Mortadela de pavo Hacendado finas lonchas",59336,"Charcutería y quesos","Aves y jamón cocido",1.19,1.19
"Mortadela de pavo Hacendado finas lonchas",59336,"Charcutería y quesos","Aves y jamón cocido",1.19,1.19
"Pechuga de pavo al horno de leña Campofrío lonchas",53140,"Charcutería y quesos","Aves y jamón cocido",1.75,1.75
"Pechuga de pollo Hacendado finas lonchas",56156,"Charcutería y quesos","Aves y jamón cocido",2.11,2.11
"Pechuga de pavo 0% m.g Hacendado",59217,"Charcutería y quesos","Aves y jamón cocido",3.25,3.25
"Pechuga de pollo Hacendado al corte",56162,"Charcutería y quesos","Aves y jamón cocido",2.11,2.11
"Pechuga de pavo Noel lonchas muy finas",59283,"Charcutería y quesos","Aves y jamón cocido",2.15,2.07
"Pollo relleno asado al horno La Carloteña lonchas",56084,"Charcutería y quesos","Aves y jamón cocido",2.09,2.25
"Jamón de pavo Hacendado",59218,"Charcutería y quesos","Aves y jamón cocido",2.46,2.46
"Longaniza de pavo Imperial extra Hacendado",55136,"Charcutería y quesos","Embutido curado",3.76,3.76
"Longaniza de pavo Imperial extra Hacendado",55136,"Charcutería y quesos","Embutido curado",3.76,3.76
"Longaniza de pavo Imperial extra Hacendado",55136,"Charcutería y quesos","Aves y jamón cocido",3.76,3.76
"Longaniza de pavo Imperial extra Hacendado",55136,"Charcutería y quesos","Aves y jamón cocido",3.76,3.76
"Pechuga de pavo bajo en sal Hacendado",59227,"Charcutería y quesos","Aves y jamón cocido",3.62,3.62
"Pollo relleno con trufa y pistachos La Carloteña lonchas",56173,"Charcutería y quesos","Aves y jamón cocido",1.99,2.15
"Cabeza de cerdo finas lonchas Hacendado",59364,"Charcutería y quesos","Aves y jamón cocido",1.73,1.8
"Maxi pavo Hacendado finas lonchas",22430,"Charcutería y quesos","Aves y jamón cocido",2.75,2.75
"Jamón cocido extra Hacendado finas lonchas",86074,"Charcutería y quesos","Aves y jamón cocido",3.31,3.45
"Jamón cocido extra Hacendado lonchas",59249,"Charcutería y quesos","Aves y jamón cocido",1.95,2.04
"Jamón cocido Hacendado lonchas",59256,"Charcutería y quesos","Aves y jamón cocido",2.3,2.41
"Jamón cocido extra sándwich Hacendado lonchas",59215,"Charcutería y quesos","Aves y jamón cocido",1.99,2.11
"Maxi york Hacendado finas lonchas",56115,"Charcutería y quesos","Aves y jamón cocido",2.27,2.38
"Jamón cocido extra Noel lonchas",59143,"Charcutería y quesos","Aves y jamón cocido",2.2,2.29
"Jamón cocido jugoso Hacendado",59233,"Charcutería y quesos","Aves y jamón cocido",1.71,1.82
"Jamón cocido braseado Noel lonchas",59164,"Charcutería y quesos","Aves y jamón cocido",2.15,2.24
"Jamón cocido Noel lonchas",59167,"Charcutería y quesos","Aves y jamón cocido",2.36,2.39
"Fiambre magro sándwich Hacendado lonchas",59253,"Charcutería y quesos","Aves y jamón cocido",1.74,1.85
"Jamón cocido bajo en sal Hacendado finas lonchas",59212,"Charcutería y quesos","Aves y jamón cocido",2.12,2.23
"Magro de cerdo cocido Coren",52051,"Charcutería y quesos","Aves y jamón cocido",2.69,2.69
"Maxi york Hacendado",59223,"Charcutería y quesos","Aves y jamón cocido",5.71,6.24
"Lacón al horno Noel lonchas",59216,"Charcutería y quesos","Aves y jamón cocido",2.09,2.19
"Maxi lomo Hacendado finas lonchas",56128,"Charcutería y quesos","Aves y jamón cocido",2.45,2.6
"Bacón Hacendado cintas",59066,"Charcutería y quesos","Bacón y salchichas",2.1,2.1
"Bacón Oscar Mayer lonchas",53500,"Charcutería y quesos","Bacón y salchichas",2.45,2.29
"Panceta salada ibérica La Hacienda del ibérico",58220,"Charcutería y quesos","Bacón y salchichas",2.7,2.7
"Panceta salada ibérica La Hacienda del ibérico",58220,"Charcutería y quesos","Bacón y salchichas",2.7,2.7
"Salchichas cocidas estilo Frankfurt Hacendado de pollo y cerdo sabor ahumado",53141,"Charcutería y quesos","Bacón y salchichas",1.68,1.85
"Salchichas cocidas Hacendado de pollo y pavo sabor ahumado",53056,"Charcutería y quesos","Bacón y salchichas",1.3,1.3
"Salchichas cocidas Schara de cerdo ahumadas",53012,"Charcutería y quesos","Bacón y salchichas",4.1,3.95
"Salchichas cocidas estilo Viena con queso Hacendado de pollo y cerdo sabor ahumado",53030,"Charcutería y quesos","Bacón y salchichas",1.4,1.4
"Salchichas cocidas con leche Campofrío de pollo, cerdo y pavo",52884,"Charcutería y quesos","Bacón y salchichas",1.05,1.05
"Salchichas cocidas hot dog bocadillo Oscar Mayer Classic de pollo y cerdo sabor ahumado",53015,"Charcutería y quesos","Bacón y salchichas",1.75,1.75
"Salchichas cocidas estilo Frankfurt con queso Hacendado de pollo y cerdo sabor ahumado",53100,"Charcutería y quesos","Bacón y salchichas",1.7,1.85
"Salchichas cocidas bocata Hacendado de pollo y pavo sabor ahumado",53059,"Charcutería y quesos","Bacón y salchichas",1.82,1.82
"Salchichas cocidas bocata gourmet Hacendado de cerdo sabor ahumado",53143,"Charcutería y quesos","Bacón y salchichas",2.2,2.2
"Salchichas cocidas bocata estilo Bratwurst Hacendado",53058,"Charcutería y quesos","Bacón y salchichas",2.35,2.35
"Salchichas cocidas pikante Schara de cerdo ahumadas",53127,"Charcutería y quesos","Bacón y salchichas",2.93,2.93
"Salchichas cocidas bocata queso Hacendado",53048,"Charcutería y quesos","Bacón y salchichas",1.86,1.86
"Salchichas cocidas bocata Hacendado",53032,"Charcutería y quesos","Bacón y salchichas",1.62,1.62
"Salchichas cocidas Frankfurt La Selva",53041,"Charcutería y quesos","Bacón y salchichas",2.25,2.25
"Salchichas cocidas de pavo sabor ahumado Hacendado",53147,"Charcutería y quesos","Bacón y salchichas",2.35,2.35
"Salchichas cocidas de pollo Hacendado",53042,"Charcutería y quesos","Bacón y salchichas",1.65,1.65
"Salchichas cocidas estilo Frankfurt Campofrío sabor ahumado",53007,"Charcutería y quesos","Bacón y salchichas",2.25,2.25
"Chopped cerdo Hacendado lonchas",59333,"Charcutería y quesos","Chopped y mortadela",1.39,1.39
"Chopped cocido en lata Hacendado finas lonchas",59340,"Charcutería y quesos","Chopped y mortadela",1.71,1.71
"Chopped Hacendado",59332,"Charcutería y quesos","Chopped y mortadela",2.17,2.25
"Mortadela Hacendado lonchas",59334,"Charcutería y quesos","Chopped y mortadela",1.25,1.25
"Mortadela con aceitunas Hacendado lonchas",59335,"Charcutería y quesos","Chopped y mortadela",1.29,1.25
"Mortadela italiana Hacendado finas lonchas",59343,"Charcutería y quesos","Chopped y mortadela",1.62,1.75
"Galantina con aceituna y pimiento Hacendado finas lonchas",59341,"Charcutería y quesos","Chopped y mortadela",1.55,1.55
"Galantina con pistacho y trufa Hacendado finas lonchas",16861,"Charcutería y quesos","Chopped y mortadela",1.85,1.85
"Mortadela de pavo Hacendado finas lonchas",59336,"Charcutería y quesos","Chopped y mortadela",1.19,1.19
"Mortadela de pavo Hacendado finas lonchas",59336,"Charcutería y quesos","Chopped y mortadela",1.19,1.19
"Mortadela de pavo Hacendado finas lonchas",59336,"Charcutería y quesos","Aves y jamón cocido",1.19,1.19
"Mortadela de pavo Hacendado finas lonchas",59336,"Charcutería y quesos","Aves y jamón cocido",1.19,1.19
"Cabeza de cerdo trufa con pistachos Hacendado finas lonchas",16862,"Charcutería y quesos","Chopped y mortadela",2.14,2.25
"Fuet espetec extra Hacendado",55108,"Charcutería y quesos","Embutido curado",2.36,2.57
"Salchichón extra Hacendado lonchas",59085,"Charcutería y quesos","Embutido curado",1.94,2.11
"Sticks longaniza extra Hacendado",59078,"Charcutería y quesos","Embutido curado",1.1,1.1
"Salchichón extra Hacendado lonchas",59130,"Charcutería y quesos","Embutido curado",2.09,2.27
"Longaniza de payés extra Hacendado lonchas",59254,"Charcutería y quesos","Embutido curado",1.99,2.07
"Salami extra Hacendado lonchas",59090,"Charcutería y quesos","Embutido curado",1.9,1.97
"Salchichón extra pimienta Hacendado finas lonchas",59077,"Charcutería y quesos","Embutido curado",1.75,1.82
"Salchichón de cebo ibérico cortado a máquina",58267,"Charcutería y quesos","Embutido curado",2.24,2.3
"Salchichón de bellota ibérico cular cortado a máquina",58391,"Charcutería y quesos","Embutido curado",2.61,2.92
"Longaniza de pavo Imperial extra Hacendado",55136,"Charcutería y quesos","Embutido curado",3.76,3.76
"Longaniza de pavo Imperial extra Hacendado",55136,"Charcutería y quesos","Embutido curado",3.76,3.76
"Longaniza de pavo Imperial extra Hacendado",55136,"Charcutería y quesos","Aves y jamón cocido",3.76,3.76
"Longaniza de pavo Imperial extra Hacendado",55136,"Charcutería y quesos","Aves y jamón cocido",3.76,3.76
"Longaniza clásica extra Hacendado",55125,"Charcutería y quesos","Embutido curado",2.6,2.8
"Longaniza de payés extra Hacendado",55130,"Charcutería y quesos","Embutido curado",4.87,4.98
"Salami montañés extra El Pozo",55028,"Charcutería y quesos","Embutido curado",1.85,1.85
"Salchichón cular ibérico extra La Hacienda del ibérico",58159,"Charcutería y quesos","Embutido curado",6.5,6.98
"Mini salchichón ibérico extra La Hacienda del ibérico",58248,"Charcutería y quesos","Embutido curado",2.35,2.65
"Salchichón cular ibérico extra La Hacienda del ibérico",58266,"Charcutería y quesos","Embutido curado",10.66,11.44
"Salchichón de bellota ibérico cular Juan del Roble",58390,"Charcutería y quesos","Embutido curado",22.99,24.09
"Longaniza de pavo extra Hacendado lonchas",59165,"Charcutería y quesos","Embutido curado",2.55,2.38
"Longaniza de pavo extra Hacendado lonchas",59165,"Charcutería y quesos","Embutido curado",2.55,2.38
"Longaniza de pavo extra Hacendado lonchas",59165,"Charcutería y quesos","Aves y jamón cocido",2.55,2.38
"Longaniza de pavo extra Hacendado lonchas",59165,"Charcutería y quesos","Aves y jamón cocido",2.55,2.38
"Salchichón de pavo extra Hacendado lonchas",59159,"Charcutería y quesos","Embutido curado",2.49,2.38
"Salchichón de pavo extra Hacendado lonchas",59159,"Charcutería y quesos","Embutido curado",2.49,2.38
"Salchichón de pavo extra Hacendado lonchas",59159,"Charcutería y quesos","Aves y jamón cocido",2.49,2.38
"Salchichón de pavo extra Hacendado lonchas",59159,"Charcutería y quesos","Aves y jamón cocido",2.49,2.38
"Sticks de salami extra Hacendado",15530,"Charcutería y quesos","Embutido curado",1.1,1.1
"Pepperoni en lonchas Hacendado",60964,"Charcutería y quesos","Embutido curado",1.6,1.6
"Chorizo Pamplona extra Hacendado lonchas",59166,"Charcutería y quesos","Embutido curado",1.99,2.06
"Chorizo extra Hacendado lonchas",59086,"Charcutería y quesos","Embutido curado",1.97,2.19
"Chorizo de pavo extra Hacendado lonchas",59158,"Charcutería y quesos","Embutido curado",2.55,2.38
"Chorizo picante extra Hacendado",54210,"Charcutería y quesos","Embutido curado",2.29,2.49
"Taquitos de chorizo extra Revilla",55135,"Charcutería y quesos","Embutido curado",2.55,2.55
"Lomo de pavo Hacendado lonchas",59138,"Charcutería y quesos","Aves y jamón cocido",2.54,2.49
"Lomo de pavo Hacendado lonchas",59138,"Charcutería y quesos","Aves y jamón cocido",2.54,2.49
"Hueso garrón Incarlopsa",58307,Carne,Arreglos,0.87,1.16
"Hueso garrón Incarlopsa",58307,Carne,Arreglos,0.87,1.16
"Panceta salada ibérica La Hacienda del ibérico",58220,"Charcutería y quesos","Bacón y salchichas",2.7,2.7
"Panceta salada ibérica La Hacienda del ibérico",58220,"Charcutería y quesos","Bacón y salchichas",2.7,2.7
"Arroz precocido Hacendado ultracongelado",61302,Congelados,"Arroz y pasta",2.02,2.02
"Arroz con verduras Hacendado ultracongelado",61305,Congelados,"Arroz y pasta",1.78,1.78
"Gnocchi de pollo y verduras Hacendado ultracongelados",61354,Congelados,"Arroz y pasta",3.15,3.15
"Jamoncitos de pollo congelados",25183,Congelados,Carne,3.3,3.1
"Jamoncitos de pollo congelados",25183,Congelados,Carne,3.3,3.1
"Jamoncitos de pollo congelados",25183,Carne,"Carne congelada",3.3,3.1
"Jamoncitos de pollo congelados",25183,Carne,"Carne congelada",3.3,3.1
"Alas de pollo congeladas",25184,Congelados,Carne,3.65,3.4
"Alas de pollo congeladas",25184,Congelados,Carne,3.65,3.4
"Alas de pollo congeladas",25184,Carne,"Carne congelada",3.65,3.4
"Alas de pollo congeladas",25184,Carne,"Carne congelada",3.65,3.4
"Medallones preparado de solomillo cerdo congelados marinados",4176,Congelados,Carne,3.11,3.11
"Medallones preparado de solomillo cerdo congelados marinados",4176,Congelados,Carne,3.11,3.11
"Medallones preparado de solomillo cerdo congelados marinados",4176,Carne,"Carne congelada",3.11,3.11
"Medallones preparado de solomillo cerdo congelados marinados",4176,Carne,"Carne congelada",3.11,3.11
"Solomillo de pavo marinado congelado",25353,Congelados,Carne,2.76,2.76
"Solomillo de pavo marinado congelado",25353,Congelados,Carne,2.76,2.76
"Solomillo de pavo marinado congelado",25353,Carne,"Carne congelada",2.76,2.76
"Solomillo de pavo marinado congelado",25353,Carne,"Carne congelada",2.76,2.76
"Cuartos traseros de pollo congelados",25182,Congelados,Carne,5.8,5.8
"Cuartos traseros de pollo congelados",25182,Congelados,Carne,5.8,5.8
"Cuartos traseros de pollo congelados",25182,Carne,"Carne congelada",5.8,5.8
"Cuartos traseros de pollo congelados",25182,Carne,"Carne congelada",5.8,5.8
"Solomillo de cerdo marinado congelado",2228,Congelados,Carne,6.04,6.24
"Solomillo de cerdo marinado congelado",2228,Congelados,Carne,6.04,6.24
"Solomillo de cerdo marinado congelado",2228,Carne,"Carne congelada",6.04,6.24
"Solomillo de cerdo marinado congelado",2228,Carne,"Carne congelada",6.04,6.24
