product~product_type~product_volume~product_price_per_unit~product_price~product_unit~product_category~product_subcategory~product_url~product_code~collected_timestamp
Bebida aromatizada a base de vino para cocinar Abuela Carola~Botella~750 ml~| 3,00 €/L~2.25~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/66905/bebida-aromatizada-base-vino-cocinar-abuela-carola-botella~66905~2023-03-11 21:46:46.540548
Vinagre de vino tinto Hacendado~Botella~1 L~| 0,95 €/L~0.95~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/15843/vinagre-vino-tinto-hacendado-botella~15843~2023-03-11 21:46:47.158086
Reducción de vinagre Pedro Ximénez Hacendado~Botella~300 g~| 7,50 €/kg~2.25~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4905/reduccion-vinagre-pedro-ximenez-hacendado-botella~4905~2023-03-11 21:46:47.775615
Aceite de oliva, vinagre y sal Merry 5 monodosis 10 ml aceite de oliva virgen extra, 5 monodosis 10 ml vinagre de jerez y 5 monodosis 1 gr sal~15 monodosis x 10 ml~| 20,00 €/L~Not available~2.0~/pack~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4962/aceite-oliva-vinagre-sal-merry-5-monodosis-10-ml-aceite-oliva-virgen-extra-5-monodosis-10-ml-vinagre-jerez-5-monodosis-1-gr-sal-paquete~4962~2023-03-11 21:46:48.409186
Crema de vinagre balsámico de manzana Hacendado~Botella~250 g~| 10,80 €/kg~2.7~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4965/crema-vinagre-balsamico-manzana-hacendado-botella~4965~2023-03-11 21:46:49.069969
Aliño viandox Knorr~Botella~160 ml~| 15,25 €/L~3.05~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/7104/alino-viandox-knorr-botella~7104~2023-03-11 21:46:49.726769
Sal fina Hacendado~Paquete~1 kg~| 0,30 €/kg~0.3~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/19731/sal-fina-hacendado-paquete~19731~2023-03-11 21:46:50.310117
Sal fina de mesa Hacendado~Bote~250 g~| 2,00 €/kg~0.5~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/19715/sal-fina-mesa-hacendado-bote~19715~2023-03-11 21:46:50.962605
Sal yodada fina Hacendado~Paquete~1 kg~| 0,30 €/kg~0.3~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/19732/sal-yodada-fina-hacendado-paquete~19732~2023-03-11 21:46:51.570657
Sal gruesa Hacendado~Paquete~1 kg~| 0,30 €/kg~0.3~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/19733/sal-gruesa-hacendado-paquete~19733~2023-03-11 21:46:52.175706
Bicarbonato sódico Hacendado~Paquete~1 kg~| 1,50 €/kg~1.5~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/29007/bicarbonato-sodico-hacendado-paquete~29007~2023-03-11 21:46:52.843141
Bicarbonato sódico Hacendado~Bote~300 g~| 3,667 €/kg~1.1~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/29006/bicarbonato-sodico-hacendado-bote~29006~2023-03-11 21:46:53.503751
