categoria,subcategoria,descripcion,unidades,code,compare,price_eu,price_disc_eu,marca,format,quantity
"Aceite, especias y salsas",Especias,Eneldo Hacendado,Bote 18 g,52739.0," 10,278 €/100 g",1.85,,Hacendado,Bote,1 x 18 g
"Aceite, especias y salsas",Especias,Cilantro Hacendado,Bote 12 g,34721.0," 15,417 €/100 g",1.85,,Hacendado,Bote,1 x 12 g
"Aceite, especias y salsas",Especias,Ajo y Perejil Hacendado,Bote 74 g,60873.0," 18,244 €/kg",1.35,,Hacendado,Bote,1 x 74 g
"Aceite, especias y salsas",Especias,Colorante alimentario Hacendado,Bote 85 g,34182.0," 10,589 €/kg",0.9,,Hacendado,Bote,1 x 85 g
"Aceite, especias y salsas",Especias,Pimentón dulce Hacendado,Bote 56 g,34184.0," 17,858 €/kg",1.0,,Hacendado,Bote,1 x 56 g
"Aceite, especias y salsas",Especias,Pimentón dulce Hacendado,Bote 75 g,34186.0," 18,667 €/kg",1.4,,Hacendado,Bote,1 x 75 g
"Aceite, especias y salsas",Especias,Pimentón dulce de la Vera Hacendado,Bote 75 g,34102.0," 23,334 €/kg",1.75,,Hacendado,Bote,1 x 75 g
"Aceite, especias y salsas",Especias,Azafrán molido Hacendado,"Paquete 4 sobres 0,4 g",34116.0," 437,50 €/100 g",1.75,,Hacendado,Paquete 4 sobres ,"1 x 0,4 g"
"Aceite, especias y salsas",Especias,Azafrán hebra Hacendado,"Paquete 3 usos 0,38 g",34115.0," 459,46 €/100 g",1.7,,Hacendado,Paquete 3 usos ,"1 x 0,38 g"
"Aceite, especias y salsas",Especias,Pimentón picante Hacendado,Bote 60 g,34183.0," 22,50 €/kg",1.35,,Hacendado,Bote,1 x 60 g
"Aceite, especias y salsas",Especias,Pimienta negra molida Hacendado,Bote 70 g,34171.0," 15,00 €/kg",1.05,,Hacendado,Bote,1 x 70 g
"Aceite, especias y salsas",Especias,Molinillo pimienta negra Hacendado,Bote 65 g,67693.0," 25,385 €/kg",1.65,,Hacendado,Bote,1 x 65 g
"Aceite, especias y salsas",Especias,Pimienta negra en grano Hacendado,Bote 70 g,34172.0," 20,715 €/kg",1.45,,Hacendado,Bote,1 x 70 g
"Aceite, especias y salsas",Especias,Molinillo mix pimientas Hacendado,Bote 50 g,67694.0," 37,00 €/kg",1.85,,Hacendado,Bote,1 x 50 g
"Aceite, especias y salsas",Especias,Pimienta blanca molida Hacendado,Bote 70 g,34170.0," 30,715 €/kg",2.15,,Hacendado,Bote,1 x 70 g
"Aceite, especias y salsas",Especias,Ajo granulado Hacendado,Bote 115 g,86656.0," 9,566 €/kg",1.15,1.1,Hacendado,Bote,1 x 115 g
"Aceite, especias y salsas",Especias,Cebolla frita crujiente Hacendado,Bote 150 g,34208.0," 7,667 €/kg",1.15,,Hacendado,Bote,1 x 150 g
"Aceite, especias y salsas",Especias,Canela molida Hacendado,Bote 52 g,34177.0," 18,27 €/kg",0.95,,Hacendado,Bote,1 x 52 g
"Aceite, especias y salsas",Especias,Canela en rama Hacendado,Bote 19 g,52880.0," 7,632 €/100 g",1.45,,Hacendado,Bote,1 x 19 g
"Aceite, especias y salsas",Especias,Comino molido Hacendado,Bote 58 g,34120.0," 20,69 €/kg",1.2,,Hacendado,Bote,1 x 58 g
"Aceite, especias y salsas",Especias,Comino en grano Hacendado,Bote 56 g,34121.0," 34,822 €/kg",1.95,,Hacendado,Bote,1 x 56 g
"Aceite, especias y salsas",Especias,Curry Hacendado,Bote 57 g,34125.0," 20,176 €/kg",1.15,,Hacendado,Bote,1 x 57 g
"Aceite, especias y salsas",Especias,Nuez moscada molida Hacendado,Bote 58 g,34173.0," 28,449 €/kg",1.65,,Hacendado,Bote,1 x 58 g
"Aceite, especias y salsas",Especias,Cebolla en polvo Hacendado,Bote 60 g,34138.0," 16,00 €/kg",0.96,,Hacendado,Bote,1 x 60 g
"Aceite, especias y salsas",Especias,Cayena guindillas Hacendado,Bote 27 g,34178.0," 4,815 €/100 g",1.3,,Hacendado,Bote,1 x 27 g
"Aceite, especias y salsas",Especias,Cayena molida Hacendado,Bote 55 g,37417.0," 28,91 €/kg",1.59,,Hacendado,Bote,1 x 55 g
"Aceite, especias y salsas",Especias,Cúrcuma Hacendado,Bote 60 g,34163.0," 20,834 €/kg",1.25,,Hacendado,Bote,1 x 60 g
"Aceite, especias y salsas",Especias,Jengibre molido Hacendado,Bote 49 g,34149.0," 3,368 €/100 g",1.65,,Hacendado,Bote,1 x 49 g
"Aceite, especias y salsas",Especias,Sal de ajo Hacendado,Bote 130 g,34130.0," 13,847 €/kg",1.8,,Hacendado,Bote,1 x 130 g
"Aceite, especias y salsas",Especias,Clavo en grano Hacendado,Bote 42 g,34122.0," 4,167 €/100 g",1.75,,Hacendado,Bote,1 x 42 g
"Aceite, especias y salsas",Especias,Piñones Hacendado,Bote 70 g,60869.0," 40,572 €/kg",2.84,,Hacendado,Bote,1 x 70 g
"Aceite, especias y salsas",Especias,Picada catalana Hacendado,Bote 25 g,52709.0," 7,80 €/100 g",1.95,,Hacendado,Bote,1 x 25 g
"Aceite, especias y salsas",Especias,Sazonador para fajitas Hacendado sabor tex-mex,Sobre 17 g,23353.0," 5,00 €/100 g",0.85,,Hacendado,Sobre,1 x 17 g
"Aceite, especias y salsas",Especias,Sazonador ajo y limón Hacendado para carne y pescado,Sobre 30 g,11971.0," 3,50 €/100 g",1.05,,Hacendado,Sobre,1 x 30 g
"Aceite, especias y salsas",Especias,Sazonador hierbas provenzales Hacendado para pollo y costillas,Sobre 24 g,11972.0," 4,167 €/100 g",1.0,,Hacendado,Sobre,1 x 24 g
"Aceite, especias y salsas",Especias,Sazonador sabor barbacoa Hacendado para carne,Sobre 57 g,86659.0," 23,685 €/kg",1.35,,Hacendado,Sobre,1 x 57 g
"Aceite, especias y salsas",Especias,Sazonador para paella con azafrán Hacendado,Caja 5 sobres 20 g,34702.0," 7,25 €/100 g",1.45,,Hacendado,Caja 5 sobres ,1 x 20 g
"Aceite, especias y salsas",Especias,Sazonador para burritos Hacendado,Sobre 40 g,17147.0," 3,25 €/100 g",1.3,,Hacendado,Sobre,1 x 40 g
"Aceite, especias y salsas",Especias,Sazonador pollo y carne Hacendado,Bote 76 g,86808.0," 19,737 €/kg",1.5,,Hacendado,Bote,1 x 76 g
"Aceite, especias y salsas",Especias,Sazonador pasta Hacendado,Bote 45 g,34134.0," 5,556 €/100 g",2.5,,Hacendado,Bote,1 x 45 g
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hacendado,Tarro 500 ml,13406.0," 2,50 €/L",1.25,,Hacendado,Tarro,1 x 500 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hacendado,Tarro 240 ml,52728.0," 3,959 €/L",1.0,0.95,Hacendado,Tarro,1 x 240 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hacendado,Bote 460 ml,13407.0," 2,935 €/L",1.35,,Hacendado,Bote,1 x 460 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa en sobres individuales,12 sobres x 20 ml,23816.0," 5,209 €/L",1.25,,,sobres,12 x 20 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hellmann's,Tarro 450 ml,35840.0," 6,556 €/L",3.25,2.95,,Tarro,1 x 450 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hellmann's,Tarro 225 ml,17052.0," 8,667 €/L",1.95,,,Tarro,1 x 225 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Ligeresa,Tarro 425 ml,35839.0," 6,236 €/L",2.65,,,Tarro,1 x 425 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Ligeresa,Tarro 210 ml,35838.0," 7,381 €/L",1.55,,,Tarro,1 x 210 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Ligeresa,Bote 430 ml,17039.0," 6,163 €/L",2.65,,,Bote,1 x 430 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Ybarra,Bote 500 ml,17038.0," 4,50 €/L",2.25,,,Bote,1 x 500 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa fina Kraft,Tarro 425 ml,35361.0," 4,706 €/L",2.0,,,Tarro,1 x 425 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Hacendado,Tarro 500 ml,15793.0," 2,40 €/L",1.3,1.2,Hacendado,Tarro,1 x 500 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Hacendado,Bote 460 ml,15794.0," 2,718 €/L",1.35,1.25,Hacendado,Bote,1 x 460 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Ketchup Hacendado,Bote 600 g,23579.0," 2,167 €/kg",1.3,,Hacendado,Bote,1 x 600 g
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Ketchup Hacendado en sobres individuales,Paquete 12 sobres 240 g,67586.0," 5,834 €/kg",1.4,,Hacendado,Paquete 12 sobres ,1 x 240 g
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Ketchup Heinz,Bote 650 g,35837.0," 5,385 €/kg",3.5,,,Bote,1 x 650 g
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Ketchup zero azúcares añadidos Hacendado,Bote 600 g,35343.0," 2,667 €/kg",1.6,,Hacendado,Bote,1 x 600 g
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mostaza a la antigua Hacendado,Tarro 200 g,17229.0," 8,50 €/kg",1.7,,Hacendado,Tarro,1 x 200 g
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mostaza de Dijon Hacendado,Tarro 200 g,17228.0," 6,25 €/kg",1.25,,Hacendado,Tarro,1 x 200 g
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mostaza clásica Hacendado,Bote 388 g,23410.0," 3,48 €/kg",1.35,,Hacendado,Bote,1 x 388 g
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Allioli Chovi,Tarrina 180 ml,17150.0," 7,50 €/L",1.35,,,Tarrina,1 x 180 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Allioli Hacendado,Tarrina 200 ml,17172.0," 5,50 €/L",1.1,,Hacendado,Tarrina,1 x 200 ml
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Allioli en sobres individuales Hacendado,Paquete 8 sobres 160 ml,17173.0," 9,375 €/L",1.5,,Hacendado,Paquete 8 sobres ,1 x 160 ml
"Aceite, especias y salsas",Otras salsas,Tomate frito Hacendado,3 bricks x 400 g,17132.0," 1,167 €/kg",1.4,,Hacendado,bricks,3 x 400 g
"Aceite, especias y salsas",Otras salsas,Tomate frito Hacendado,3 mini bricks x 210 g,17151.0," 1,588 €/kg",1.1,1.0,Hacendado,mini bricks,3 x 210 g
"Aceite, especias y salsas",Otras salsas,Tomate frito Hacendado,Tarro 560 g,17108.0," 1,518 €/kg",0.95,0.85,Hacendado,Tarro,1 x 560 g
"Aceite, especias y salsas",Otras salsas,Tomate frito receta artesana Hacendado,Tarro 560 g,17163.0," 4,286 €/kg",2.4,,Hacendado,Tarro,1 x 560 g
"Aceite, especias y salsas",Otras salsas,Tomate frito receta artesana Hacendado,Tarro 300 g,17131.0," 5,50 €/kg",1.65,,Hacendado,Tarro,1 x 300 g
"Aceite, especias y salsas",Otras salsas,Tomate frito estilo casero Hacendado,Brick 380 g,17153.0," 3,422 €/kg",1.3,,Hacendado,Brick,1 x 380 g
"Aceite, especias y salsas",Otras salsas,Tomate frito Hacendado con aceite de oliva,3 mini bricks x 210 g,17128.0," 2,223 €/kg",1.4,,Hacendado,mini bricks,3 x 210 g
"Aceite, especias y salsas",Otras salsas,Tomate frito sin azúcares añadidos Hacendado,Tarro 560 g,17330.0," 1,965 €/kg",1.2,1.1,Hacendado,Tarro,1 x 560 g
"Aceite, especias y salsas",Otras salsas,Tomate frito con cebolla Hacendado,Brick 380 g,17154.0," 3,553 €/kg",1.35,,Hacendado,Brick,1 x 380 g
"Aceite, especias y salsas",Otras salsas,Salsa barbacoa Hacendado,Bote 350 g,17346.0," 3,286 €/kg",1.15,,Hacendado,Bote,1 x 350 g
"Aceite, especias y salsas",Otras salsas,Salsa pimienta verde Hacendado,Sobre 50 g,17502.0," 25,00 €/kg",1.25,,Hacendado,Sobre,1 x 50 g
"Aceite, especias y salsas",Otras salsas,Salsa burger Hacendado,Bote 250 ml,17347.0," 5,40 €/L",1.35,,Hacendado,Bote,1 x 250 ml
"Aceite, especias y salsas",Otras salsas,Salsa estilo argentino Hacendado,Bote 300 g,35780.0," 5,00 €/kg",1.6,1.5,Hacendado,Bote,1 x 300 g
"Aceite, especias y salsas",Otras salsas,Salsa Piri Piri Hacendado,Botella 195 ml,17396.0," 5,129 €/L",1.0,,Hacendado,Botella,1 x 195 ml
"Aceite, especias y salsas",Otras salsas,Salsa pesto con albahaca Hacendado,Tarro 190 g,35438.0," 11,053 €/kg",2.1,,Hacendado,Tarro,1 x 190 g
"Aceite, especias y salsas",Otras salsas,Salsa de tomate boloñesa Hacendado,Tarro 290 g,35545.0," 5,345 €/kg",1.65,1.55,Hacendado,Tarro,1 x 290 g
"Aceite, especias y salsas",Otras salsas,Salsa de tomate Basilico con albahaca Hacendado,Tarro 290 g,35546.0," 4,828 €/kg",1.5,1.4,Hacendado,Tarro,1 x 290 g
"Aceite, especias y salsas",Otras salsas,Salsa fresca Trufa Hacendado,Paquete 140 g,17410.0," 10,358 €/kg",1.45,,Hacendado,Paquete,1 x 140 g
"Aceite, especias y salsas",Otras salsas,Salsa fresca Queso Hacendado,Paquete 180 g,17409.0," 8,056 €/kg",1.45,,Hacendado,Paquete,1 x 180 g
"Aceite, especias y salsas",Otras salsas,Salsa fresca Pesto con albahaca Hacendado,Tarrina 150 g,35186.0," 13,334 €/kg",2.0,,Hacendado,Tarrina,1 x 150 g
"Aceite, especias y salsas",Otras salsas,Salsa fresca Setas,Paquete 180 g,35184.0," 8,612 €/kg",1.55,,,Paquete,1 x 180 g
"Aceite, especias y salsas",Otras salsas,Salsa fresca Carbonara Hacendado,Paquete 200 g,35183.0," 7,75 €/kg",1.55,,Hacendado,Paquete,1 x 200 g
"Aceite, especias y salsas",Otras salsas,Salsa de soja Hacendado,Botella 250 ml,17360.0," 5,60 €/L",1.45,1.4,Hacendado,Botella,1 x 250 ml
"Aceite, especias y salsas",Otras salsas,Salsa teriyaki Hacendado,Botella 250 ml,17362.0," 6,60 €/L",1.65,,Hacendado,Botella,1 x 250 ml
"Aceite, especias y salsas",Otras salsas,Salsa agridulce Salsas Asturianas,Bote 340 g,22721.0," 5,00 €/kg",1.7,,,Bote,1 x 340 g
"Aceite, especias y salsas",Otras salsas,Salsa thai chili dulce J-Lek,Botella 250 ml,22613.0," 6,20 €/L",1.55,,,Botella,1 x 250 ml
"Aceite, especias y salsas",Otras salsas,Salsa de soja sin gluten Hacendado,Botella 250 ml,17382.0," 10,00 €/L",2.5,,Hacendado,Botella,1 x 250 ml
"Aceite, especias y salsas",Otras salsas,Guacamole Hacendado,Tarrina 500 g,3840.0," 7,18 €/kg",3.59,,Hacendado,Tarrina,1 x 500 g
"Aceite, especias y salsas",Otras salsas,Guacamole Hacendado,Tarrina 200 g,3852.0," 8,75 €/kg",1.75,,Hacendado,Tarrina,1 x 200 g
"Aceite, especias y salsas",Otras salsas,Salsa yogur Hacendado,Bote 310 ml,17327.0," 3,871 €/L",1.25,1.2,Hacendado,Bote,1 x 310 ml
"Aceite, especias y salsas",Otras salsas,Salsa mexicana Hacendado,Tarro 300 g,16827.0," 4,167 €/kg",1.25,,Hacendado,Tarro,1 x 300 g
"Aceite, especias y salsas",Otras salsas,Salsa Ranch Hacendado,Bote 250 ml,17386.0," 5,40 €/L",1.35,,Hacendado,Bote,1 x 250 ml
"Aceite, especias y salsas",Otras salsas,Salsa césar Hacendado,Bote 310 ml,17366.0," 4,517 €/L",1.4,,Hacendado,Bote,1 x 310 ml
"Aceite, especias y salsas",Otras salsas,"Aliño de aceite, ajo y perejil Hacendado",Tarrina 150 ml,17265.0," 10,00 €/L",1.5,,Hacendado,Tarrina,1 x 150 ml
"Aceite, especias y salsas",Otras salsas,Salsa miel y mostaza Hacendado,Bote 340 g,52467.0," 4,265 €/kg",1.5,1.45,Hacendado,Bote,1 x 340 g
"Aceite, especias y salsas",Otras salsas,Salsa de trufas,Bote 80 g,17259.0," 38,75 €/kg",3.1,,,Bote,1 x 80 g
"Aceite, especias y salsas",Otras salsas,Salsa gajos rústica Hacendado,Bote 250 ml,17348.0," 5,40 €/L",1.35,,Hacendado,Bote,1 x 250 ml
"Aceite, especias y salsas",Otras salsas,Salsa de queso Hacendado,Tarro 280 ml,35344.0," 6,25 €/L",1.75,,Hacendado,Tarro,1 x 280 ml
"Aceite, especias y salsas",Otras salsas,Chili con carne Hacendado,Bote 420 g,23137.0," 6,31 €/kg",2.65,,Hacendado,Bote,1 x 420 g
"Aceite, especias y salsas",Otras salsas,Salsa bechamel Knorr,Brick 500 ml,86713.0," 4,50 €/L",2.25,,,Brick,1 x 500 ml
"Aceite, especias y salsas",Otras salsas,Extracto original de buey Bovril,Tarro 125 g,7307.0," 24,00 €/kg",3.0,,,Tarro,1 x 125 g
"Aceite, especias y salsas",Otras salsas,Salsa cocktail Hacendado,Bote 460 ml,23072.0," 3,044 €/L",1.5,1.4,Hacendado,Bote,1 x 460 ml
"Aceite, especias y salsas",Otras salsas,Salsa romesco Ferrer,Tarro 130 g,17290.0," 13,847 €/kg",1.8,,,Tarro,1 x 130 g
"Aceite, especias y salsas",Otras salsas,Salsa calçots Ferrer,Tarro 320 g,17291.0," 8,407 €/kg",2.69,,,Tarro,1 x 320 g
"Aceite, especias y salsas",Otras salsas,Pasta de sésamo Tahini Hacendado,Tarro 200 g,17441.0," 14,75 €/kg",2.95,,Hacendado,Tarro,1 x 200 g
"Aceite, especias y salsas",Otras salsas,Salsa brava Hacendado,Bote 310 g,35163.0," 5,807 €/kg",1.8,,Hacendado,Bote,1 x 310 g
Agua y refrescos,Agua,Agua mineral grande Font Agudes,Garrafa 8 L,28039.0," 0,112 €/L",0.89,,,Garrafa,1 x 8 L
Agua y refrescos,Agua,Agua mineral grande Font Agudes,Garrafa 6 L,27335.0," 0,13 €/L",0.78,,,Garrafa,1 x 6 L
Agua y refrescos,Agua,Agua mineral grande Font Agudes,"6 botellas x 1,5 L",26992.0," 0,167 €/L",1.5,,,botellas,"6 x 1,5 L"
Agua y refrescos,Agua,Agua mineral grande Font Agudes,"Botella 1,5 L",26993.0," 0,167 €/L",0.25,,,Botella,"1 x 1,5 L"
Agua y refrescos,Agua,Agua mineral mediana Font Agudes,6 botellas x 1 L,28572.0," 0,40 €/L",2.4,,,botellas,6 x 1 L
Agua y refrescos,Agua,Agua mineral mediana Font Agudes,Botella 1 L,28573.0," 0,40 €/L",0.4,,,Botella,1 x 1 L
Agua y refrescos,Agua,Agua mineral pequeña Font Agudes,6 botellas x 500 ml,27062.0," 0,44 €/L",1.32,,,botellas,6 x 500 ml
Agua y refrescos,Agua,Agua mineral pequeña Font Agudes,Botella 500 ml,27514.0," 0,44 €/L",0.22,,,Botella,1 x 500 ml
Agua y refrescos,Agua,Agua mineral pequeña Font Agudes tapón infantil,6 botellas x 330 ml,27576.0," 0,728 €/L",1.44,,,botellas,6 x 330 ml
