product_code,product_price,collected_timestamp
17337.0,3.75,2023-03-11 
17291.0,2.59,2023-03-11 
17441.0,2.9,2023-03-11 
35163.0,1.65,2023-03-11 
28039.0,0.86,2023-03-11 
27335.0,0.75,2023-03-11 
26992.0,1.44,2023-03-11 
26993.0,0.24,2023-03-11 
28572.0,2.4,2023-03-11 
28573.0,0.4,2023-03-11 
27062.0,1.2,2023-03-11 
27514.0,0.2,2023-03-11 
27576.0,1.32,2023-03-11 
27575.0,0.22,2023-03-11 
28035.0,1.23,2023-03-11 
23448.0,2.22,2023-03-11 
23449.0,0.37,2023-03-11 
28491.0,3.0,2023-03-11 
28499.0,0.5,2023-03-11 
27061.0,1.5,2023-03-11 
27054.0,0.25,2023-03-11 
28566.0,2.16,2023-03-11 
28567.0,0.36,2023-03-11 
27314.0,4.38,2023-03-11 
27230.0,0.73,2023-03-11 
27292.0,2.12,2023-03-11 
27155.0,3.3,2023-03-11 
27038.0,0.55,2023-03-11 
27099.0,3.54,2023-03-11 
27232.0,0.59,2023-03-11 
27350.0,4.2,2023-03-11 
27204.0,0.73,2023-03-11 
27327.0,5.22,2023-03-11 
27356.0,0.87,2023-03-11 
27253.0,3.78,2023-03-11 
27221.0,0.63,2023-03-11 
28198.0,2.6,2023-03-11 
27213.0,1.49,2023-03-11 
28185.0,5.89,2023-03-11 
27366.0,2.28,2023-03-11 
27367.0,0.38,2023-03-11 
27368.0,1.5,2023-03-11 
27369.0,0.25,2023-03-11 
27084.0,1.29,2023-03-11 
27894.0,8.1,2023-03-11 
27893.0,1.35,2023-03-11 
27203.0,1.6,2023-03-11 
27598.0,6.54,2023-03-11 
27597.0,1.09,2023-03-11 
27973.0,0.5,2023-03-11 
27972.0,1.92,2023-03-11 
27971.0,0.32,2023-03-11 
27733.0,2.26,2023-03-11 
27735.0,1.15,2023-03-11 
29608.0,1.95,2023-03-11 
29605.0,6.48,2023-03-11 
29625.0,0.85,2023-03-11 
28576.0,1.06,2023-03-11 
28575.0,2.4,2023-03-11 
28574.0,0.4,2023-03-11 
29609.0,1.95,2023-03-11 
29604.0,6.48,2023-03-11 
29624.0,0.85,2023-03-11 
29612.0,1.95,2023-03-11 
28688.0,1.06,2023-03-11 
28690.0,2.4,2023-03-11 
28689.0,0.4,2023-03-11 
29410.0,1.55,2023-03-11 
29080.0,0.6,2023-03-11 
27491.0,1.07,2023-03-11 
28299.0,8.95,2023-03-11 
27944.0,0.45,2023-03-11 
28670.0,6.32,2023-03-11 
28119.0,1.7,2023-03-11 
66168.0,0.92,2023-03-11 
28664.0,6.72,2023-03-11 
