product_code,category,subcategory,pr_23,pr_24
15794,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.5,1.35
23579,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.3,1.3
67586,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.4,1.4
35343,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.6,1.6
17229,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.5,1.7
17228,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.15,1.25
23410,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.25,1.35
17150,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.35,1.35
17172,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.1,1.1
17173,"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",1.5,1.5
17132,"Conservas, caldos y cremas",Tomate,1.45,1.4
17132,"Conservas, caldos y cremas",Tomate,1.45,1.4
17132,"Aceite, especias y salsas","Otras salsas",1.45,1.4
17132,"Aceite, especias y salsas","Otras salsas",1.45,1.4
17151,"Conservas, caldos y cremas",Tomate,1.1,1.1
17151,"Conservas, caldos y cremas",Tomate,1.1,1.1
17151,"Aceite, especias y salsas","Otras salsas",1.1,1.1
17151,"Aceite, especias y salsas","Otras salsas",1.1,1.1
17108,"Conservas, caldos y cremas",Tomate,1,0.95
17108,"Conservas, caldos y cremas",Tomate,1,0.95
17108,"Aceite, especias y salsas","Otras salsas",1,0.95
17108,"Aceite, especias y salsas","Otras salsas",1,0.95
17163,"Conservas, caldos y cremas",Tomate,2.15,2.4
17163,"Conservas, caldos y cremas",Tomate,2.15,2.4
17163,"Aceite, especias y salsas","Otras salsas",2.15,2.4
17163,"Aceite, especias y salsas","Otras salsas",2.15,2.4
17131,"Conservas, caldos y cremas",Tomate,1.6,1.65
17131,"Conservas, caldos y cremas",Tomate,1.6,1.65
17131,"Aceite, especias y salsas","Otras salsas",1.6,1.65
17131,"Aceite, especias y salsas","Otras salsas",1.6,1.65
17153,"Conservas, caldos y cremas",Tomate,1.2,1.3
17153,"Conservas, caldos y cremas",Tomate,1.2,1.3
17153,"Aceite, especias y salsas","Otras salsas",1.2,1.3
17153,"Aceite, especias y salsas","Otras salsas",1.2,1.3
17128,"Conservas, caldos y cremas",Tomate,1.2,1.4
17128,"Conservas, caldos y cremas",Tomate,1.2,1.4
17128,"Aceite, especias y salsas","Otras salsas",1.2,1.4
17128,"Aceite, especias y salsas","Otras salsas",1.2,1.4
17330,"Conservas, caldos y cremas",Tomate,1.2,1.2
17330,"Conservas, caldos y cremas",Tomate,1.2,1.2
17330,"Aceite, especias y salsas","Otras salsas",1.2,1.2
17330,"Aceite, especias y salsas","Otras salsas",1.2,1.2
17154,"Conservas, caldos y cremas",Tomate,1.35,1.35
17154,"Conservas, caldos y cremas",Tomate,1.35,1.35
17154,"Aceite, especias y salsas","Otras salsas",1.35,1.35
17154,"Aceite, especias y salsas","Otras salsas",1.35,1.35
17346,"Aceite, especias y salsas","Otras salsas",1.15,1.15
17502,"Aceite, especias y salsas","Otras salsas",1.25,1.25
17347,"Aceite, especias y salsas","Otras salsas",1.35,1.35
17396,"Aceite, especias y salsas","Otras salsas",1,1
17410,"Aceite, especias y salsas","Otras salsas",1.45,1.45
17409,"Aceite, especias y salsas","Otras salsas",1.45,1.45
35184,"Aceite, especias y salsas","Otras salsas",1.6,1.55
35183,"Aceite, especias y salsas","Otras salsas",1.6,1.55
17360,"Aceite, especias y salsas","Otras salsas",1.45,1.45
17362,"Aceite, especias y salsas","Otras salsas",1.65,1.65
22721,"Aceite, especias y salsas","Otras salsas",1.7,1.7
22613,"Aceite, especias y salsas","Otras salsas",1.65,1.55
17382,"Aceite, especias y salsas","Otras salsas",2.5,2.5
3840,"Aceite, especias y salsas","Otras salsas",3.5,3.59
3840,"Aceite, especias y salsas","Otras salsas",3.5,3.59
3852,"Aceite, especias y salsas","Otras salsas",1.75,1.75
3852,"Aceite, especias y salsas","Otras salsas",1.75,1.75
17327,"Aceite, especias y salsas","Otras salsas",1.4,1.25
17327,"Aceite, especias y salsas","Otras salsas",1.25,1.25
17386,"Aceite, especias y salsas","Otras salsas",1.35,1.35
17366,"Aceite, especias y salsas","Otras salsas",1.4,1.4
17265,"Aceite, especias y salsas","Otras salsas",1.5,1.5
17259,"Aceite, especias y salsas","Otras salsas",3.1,3.1
17348,"Aceite, especias y salsas","Otras salsas",1.35,1.35
35344,"Aceite, especias y salsas","Otras salsas",1.75,1.75
23137,"Aceite, especias y salsas","Otras salsas",2.6,2.65
86713,"Aceite, especias y salsas","Otras salsas",2.25,2.25
86713,"Aceite, especias y salsas","Otras salsas",2.25,2.25
7307,"Aceite, especias y salsas","Otras salsas",3,3
23072,"Aceite, especias y salsas","Otras salsas",1.5,1.5
17290,"Aceite, especias y salsas","Otras salsas",1.8,1.8
17291,"Aceite, especias y salsas","Otras salsas",2.59,2.69
17441,"Aceite, especias y salsas","Otras salsas",2.9,2.95
35163,"Aceite, especias y salsas","Otras salsas",1.65,1.8
28039,"Agua y refrescos",Agua,0.86,0.89
27335,"Agua y refrescos",Agua,0.75,0.78
26992,"Agua y refrescos",Agua,1.44,1.5
26993,"Agua y refrescos",Agua,0.24,0.25
28572,"Agua y refrescos",Agua,2.4,2.4
28573,"Agua y refrescos",Agua,0.4,0.4
27062,"Agua y refrescos",Agua,1.2,1.32
27514,"Agua y refrescos",Agua,0.2,0.22
27576,"Agua y refrescos",Agua,1.32,1.44
27575,"Agua y refrescos",Agua,0.22,0.24
28035,"Agua y refrescos",Agua,1.23,1.26
23448,"Agua y refrescos",Agua,2.22,2.34
23449,"Agua y refrescos",Agua,0.37,0.39
28491,"Agua y refrescos",Agua,3,3
28499,"Agua y refrescos",Agua,0.5,0.5
27061,"Agua y refrescos",Agua,1.5,1.62
27054,"Agua y refrescos",Agua,0.25,0.27
28566,"Agua y refrescos",Agua,2.16,2.28
28567,"Agua y refrescos",Agua,0.36,0.38
27314,"Agua y refrescos",Agua,4.38,4.44
27230,"Agua y refrescos",Agua,0.73,0.74
27292,"Agua y refrescos",Agua,2.12,1.99
27155,"Agua y refrescos",Agua,3.3,3.3
27038,"Agua y refrescos",Agua,0.55,0.55
27099,"Agua y refrescos",Agua,3.54,3.54
27232,"Agua y refrescos",Agua,0.59,0.59
27350,"Agua y refrescos",Agua,4.2,4.2
27204,"Agua y refrescos",Agua,0.73,0.73
27327,"Agua y refrescos",Agua,5.22,5.34
27356,"Agua y refrescos",Agua,0.87,0.89
27253,"Agua y refrescos",Agua,3.78,3.78
27221,"Agua y refrescos",Agua,0.63,0.63
28198,"Agua y refrescos","Refresco de té y sin gas",2.6,2.6
28198,"Agua y refrescos","Refresco de té y sin gas",2.6,2.6
28198,"Agua y refrescos",Agua,2.6,2.6
28198,"Agua y refrescos",Agua,2.6,2.6
27213,"Agua y refrescos",Agua,1.49,1.49
28185,"Agua y refrescos",Agua,5.89,5.89
27366,"Agua y refrescos",Agua,2.28,2.46
27367,"Agua y refrescos",Agua,0.38,0.41
27368,"Agua y refrescos",Agua,1.5,1.62
27369,"Agua y refrescos",Agua,0.25,0.27
27084,"Agua y refrescos",Agua,1.29,1.29
27894,"Agua y refrescos",Agua,8.1,8.16
27893,"Agua y refrescos",Agua,1.35,1.36
27203,"Agua y refrescos",Agua,1.6,1.6
27598,"Agua y refrescos",Agua,6.54,6.84
27597,"Agua y refrescos",Agua,1.09,1.14
27973,"Agua y refrescos",Agua,0.5,0.5
27972,"Agua y refrescos",Agua,1.92,1.92
27971,"Agua y refrescos",Agua,0.32,0.32
27733,"Agua y refrescos",Agua,2.26,2.36
27735,"Agua y refrescos",Agua,1.15,1.2
29608,"Agua y refrescos","Isotónico y energético",1.95,1.99
29605,"Agua y refrescos","Isotónico y energético",6.48,6.8
29625,"Agua y refrescos","Isotónico y energético",0.85,0.89
28576,"Agua y refrescos","Isotónico y energético",1.06,1
28575,"Agua y refrescos","Isotónico y energético",2.4,2.7
28574,"Agua y refrescos","Isotónico y energético",0.4,0.45
29609,"Agua y refrescos","Isotónico y energético",1.95,1.99
29604,"Agua y refrescos","Isotónico y energético",6.48,6.8
29624,"Agua y refrescos","Isotónico y energético",0.85,0.89
29612,"Agua y refrescos","Isotónico y energético",1.95,1.99
28688,"Agua y refrescos","Isotónico y energético",1.06,1
28690,"Agua y refrescos","Isotónico y energético",2.4,2.7
28689,"Agua y refrescos","Isotónico y energético",0.4,0.45
29410,"Agua y refrescos","Isotónico y energético",1.55,1.55
29080,"Agua y refrescos","Isotónico y energético",0.6,0.6
27491,"Agua y refrescos","Isotónico y energético",1.07,1.52
27944,"Agua y refrescos","Isotónico y energético",0.45,0.4
28670,"Agua y refrescos","Isotónico y energético",6.32,6.68
28119,"Agua y refrescos","Isotónico y energético",1.7,1.79
28664,"Agua y refrescos","Isotónico y energético",6.72,7.08
28016,"Agua y refrescos","Isotónico y energético",1.8,1.89
28266,"Agua y refrescos","Isotónico y energético",1.7,1.7
28263,"Agua y refrescos","Isotónico y energético",2.7,2.7
28264,"Agua y refrescos","Isotónico y energético",0.45,0.45
29378,"Agua y refrescos","Isotónico y energético",4.52,5.52
27905,"Agua y refrescos","Isotónico y energético",1.28,1.64
29365,"Agua y refrescos","Isotónico y energético",4.2,4.2
27913,"Agua y refrescos","Isotónico y energético",1.1,1.1
28116,"Agua y refrescos","Isotónico y energético",3.6,3.6
28116,"Agua y refrescos","Isotónico y energético",3.6,3.6
13815,"Agua y refrescos","Isotónico y energético",6.72,7.08
13814,"Agua y refrescos","Isotónico y energético",1.8,1.89
27348,"Agua y refrescos","Refresco de cola",4.74,4.64
27342,"Agua y refrescos","Refresco de cola",2.47,2.36
28181,"Agua y refrescos","Refresco de cola",1.72,1.72
28113,"Agua y refrescos","Refresco de cola",5.04,5.4
29360,"Agua y refrescos","Refresco de cola",1.49,1.55
27321,"Agua y refrescos","Refresco de cola",9.84,11.16
27326,"Agua y refrescos","Refresco de cola",0.91,0.95
29072,"Agua y refrescos","Refresco de cola",1.1,1.1
29031,"Agua y refrescos","Refresco de cola",2.34,2.34
29032,"Agua y refrescos","Refresco de cola",0.39,0.39
23894,"Agua y refrescos","Refresco de cola",1.89,1.69
27426,"Agua y refrescos","Refresco de cola",9.12,10.44
27414,"Agua y refrescos","Refresco de cola",0.85,0.89
27449,"Agua y refrescos","Refresco de cola",4,3.9
27445,"Agua y refrescos","Refresco de cola",2.1,1.99
13816,"Agua y refrescos","Refresco de cola",1.49,1.49
28115,"Agua y refrescos","Refresco de cola",4.64,5
29361,"Agua y refrescos","Refresco de cola",1.39,1.45
27406,"Agua y refrescos","Refresco de cola",0.9,0.89
26997,"Agua y refrescos","Refresco de cola",9.12,10.44
27559,"Agua y refrescos","Refresco de cola",0.85,0.89
28180,"Agua y refrescos","Refresco de cola",4,3.9
27462,"Agua y refrescos","Refresco de cola",2.1,1.99
29073,"Agua y refrescos","Refresco de cola",0.7,0.7
29033,"Agua y refrescos","Refresco de cola",1.92,1.92
29034,"Agua y refrescos","Refresco de cola",0.32,0.32
29074,"Agua y refrescos","Refresco de cola",0.7,0.7
29035,"Agua y refrescos","Refresco de cola",1.92,1.92
29036,"Agua y refrescos","Refresco de cola",0.32,0.32
23898,"Agua y refrescos","Refresco de cola",1.69,1.69
26997,"Agua y refrescos","Refresco de cola",9.12,10.44
27559,"Agua y refrescos","Refresco de cola",0.85,0.89
28180,"Agua y refrescos","Refresco de cola",4,3.9
27462,"Agua y refrescos","Refresco de cola",2.1,1.99
29074,"Agua y refrescos","Refresco de cola",0.7,0.7
29035,"Agua y refrescos","Refresco de cola",1.92,1.92
29036,"Agua y refrescos","Refresco de cola",0.32,0.32
27610,"Agua y refrescos","Refresco de naranja y de limón",1.75,1.79
13817,"Agua y refrescos","Refresco de naranja y de limón",6.03,6.57
27602,"Agua y refrescos","Refresco de naranja y de limón",0.7,0.75
27608,"Agua y refrescos","Refresco de naranja y de limón",0.7,0.75
29077,"Agua y refrescos","Refresco de naranja y de limón",0.95,0.95
29043,"Agua y refrescos","Refresco de naranja y de limón",1.92,2.1
29044,"Agua y refrescos","Refresco de naranja y de limón",0.32,0.35
29078,"Agua y refrescos","Refresco de naranja y de limón",0.87,0.95
29045,"Agua y refrescos","Refresco de naranja y de limón",2.1,2.1
29046,"Agua y refrescos","Refresco de naranja y de limón",0.35,0.35
27761,"Agua y refrescos","Refresco de naranja y de limón",7.04,7.52
27762,"Agua y refrescos","Refresco de naranja y de limón",0.89,0.95
26990,"Agua y refrescos","Refresco de naranja y de limón",1.54,1.59
28176,"Agua y refrescos","Refresco de naranja y de limón",4,4.56
27845,"Agua y refrescos","Refresco de naranja y de limón",0.53,0.59
27763,"Agua y refrescos","Refresco de naranja y de limón",1.55,1.59
22112,"Agua y refrescos","Refresco de naranja y de limón",4.68,4.95
27770,"Agua y refrescos","Refresco de naranja y de limón",0.55,0.59
29079,"Agua y refrescos","Refresco de naranja y de limón",0.95,0.95
29047,"Agua y refrescos","Refresco de naranja y de limón",2.1,2.1
29048,"Agua y refrescos","Refresco de naranja y de limón",0.35,0.35
29064,"Agua y refrescos","Refresco de naranja y de limón",0.87,0.95
27526,"Agua y refrescos","Refresco de naranja y de limón",2.92,3.5
27508,"Agua y refrescos","Refresco de naranja y de limón",1.75,1.79
27571,"Agua y refrescos","Refresco de naranja y de limón",6.03,6.57
27502,"Agua y refrescos","Refresco de naranja y de limón",0.7,0.75
27545,"Agua y refrescos","Refresco de naranja y de limón",1.5,1.79
27510,"Agua y refrescos","Refresco de naranja y de limón",0.7,0.75
29075,"Agua y refrescos","Refresco de naranja y de limón",0.95,0.95
29039,"Agua y refrescos","Refresco de naranja y de limón",1.92,2.1
29040,"Agua y refrescos","Refresco de naranja y de limón",0.32,0.35
29076,"Agua y refrescos","Refresco de naranja y de limón",0.87,0.95
29041,"Agua y refrescos","Refresco de naranja y de limón",2.1,2.1
29042,"Agua y refrescos","Refresco de naranja y de limón",0.35,0.35
27666,"Agua y refrescos","Tónica y bitter",7.36,7.52
27667,"Agua y refrescos","Tónica y bitter",0.93,0.95
29247,"Agua y refrescos","Tónica y bitter",1.97,1.9
86117,"Agua y refrescos","Tónica y bitter",6.48,6.3
86118,"Agua y refrescos","Tónica y bitter",1.09,1.06
28034,"Agua y refrescos","Tónica y bitter",2.28,2.28
27980,"Agua y refrescos","Tónica y bitter",0.38,0.38
27487,"Agua y refrescos","Tónica y bitter",7.04,7.52
27488,"Agua y refrescos","Tónica y bitter",0.89,0.95
27234,"Agua y refrescos","Tónica y bitter",4.72,4.72
27017,"Agua y refrescos","Tónica y bitter",0.68,0.69
28435,"Agua y refrescos","Tónica y bitter",0.99,0.99
28509,"Agua y refrescos","Refresco de té y sin gas",6.96,7.68
27801,"Agua y refrescos","Refresco de té y sin gas",0.9,0.99
27903,"Agua y refrescos","Refresco de té y sin gas",1.95,1.99
27832,"Agua y refrescos","Refresco de té y sin gas",1.05,0.95
67938,"Agua y refrescos","Refresco de té y sin gas",0.95,0.95
86137,"Agua y refrescos","Refresco de té y sin gas",0.95,0.95
11307,"Agua y refrescos","Refresco de té y sin gas",1.3,1.5
11319,"Agua y refrescos","Refresco de té y sin gas",1.3,1.5
11319,"Agua y refrescos","Refresco de té y sin gas",1.5,1.5
27951,"Agua y refrescos","Refresco de té y sin gas",1.85,1.85
28077,"Agua y refrescos","Refresco de té y sin gas",1.3,1.4
27842,"Agua y refrescos","Refresco de té y sin gas",1.5,1.5
28187,"Agua y refrescos","Refresco de té y sin gas",1.3,1.4
27755,"Agua y refrescos","Refresco de té y sin gas",1.65,1.69
27759,"Agua y refrescos","Refresco de té y sin gas",1.89,1.95
13606,"Agua y refrescos","Refresco de té y sin gas",1,1
28191,"Agua y refrescos","Refresco de té y sin gas",1.3,1.4
28198,"Agua y refrescos","Refresco de té y sin gas",2.6,2.6
28198,"Agua y refrescos","Refresco de té y sin gas",2.6,2.6
28198,"Agua y refrescos",Agua,2.6,2.6
28198,"Agua y refrescos",Agua,2.6,2.6
28190,"Agua y refrescos","Refresco de té y sin gas",1.3,1.4
28193,"Agua y refrescos","Refresco de té y sin gas",1.3,1.4
15988,"Agua y refrescos","Refresco de té y sin gas",1.5,1.5
22910,Aperitivos,"Aceitunas y encurtidos",2.76,3.12
23217,Aperitivos,"Aceitunas y encurtidos",1.5,1.6
22911,Aperitivos,"Aceitunas y encurtidos",0.92,1.04
33053,Aperitivos,"Aceitunas y encurtidos",2.1,2.6
33078,Aperitivos,"Aceitunas y encurtidos",1.65,1.8
33168,Aperitivos,"Aceitunas y encurtidos",3.2,3.3
80177,Aperitivos,"Aceitunas y encurtidos",2.5,2.5
23759,Aperitivos,"Aceitunas y encurtidos",1.45,1.65
33114,Aperitivos,"Aceitunas y encurtidos",1.6,1.65
13422,Aperitivos,"Aceitunas y encurtidos",2.85,2.9
80016,Aperitivos,"Aceitunas y encurtidos",2.1,2.6
33121,Aperitivos,"Aceitunas y encurtidos",1.7,1.85
60718,Aperitivos,"Aceitunas y encurtidos",1.7,1.7
33178,Aperitivos,"Aceitunas y encurtidos",1.5,1.65
33059,Aperitivos,"Aceitunas y encurtidos",3.7,4.2
23708,Aperitivos,"Aceitunas y encurtidos",1.5,1.65
33120,Aperitivos,"Aceitunas y encurtidos",2.95,3.2
33205,Aperitivos,"Aceitunas y encurtidos",1.3,1.5
67915,Aperitivos,"Aceitunas y encurtidos",1.75,1.75
33249,Aperitivos,"Aceitunas y encurtidos",1.05,1.2
16851,Aperitivos,"Aceitunas y encurtidos",1.15,1.15
33113,Aperitivos,"Aceitunas y encurtidos",2.6,2.8
86593,Aperitivos,"Aceitunas y encurtidos",2,2.2
33235,Aperitivos,"Aceitunas y encurtidos",1.6,1.55
22154,Aperitivos,"Aceitunas y encurtidos",1.6,1.55
73331,Aperitivos,"Aceitunas y encurtidos",2.25,2.35
33136,Aperitivos,"Aceitunas y encurtidos",1.6,1.75
33190,Aperitivos,"Aceitunas y encurtidos",1.3,1.3
33182,Aperitivos,"Aceitunas y encurtidos",2.1,2.1
33100,Aperitivos,"Aceitunas y encurtidos",2,1.8
33141,Aperitivos,"Aceitunas y encurtidos",1.3,1.5
15966,Aperitivos,"Aceitunas y encurtidos",1.3,1.3
33022,Aperitivos,"Aceitunas y encurtidos",2.4,2.4
