year_pr,product_code,pr
2020,51079,2.1
2019,51079,2.1
2018,51079,2.1
2020,81200.1,2.1
2022,40114,2.1
2020,51073,2.1
2023,20727,2.1
2023,40178,2.1
2022,9547,2.1
2019,33078,2.15
2020,23561,2.15
2018,33078,2.15
2021,33078,2.15
2021,23561,2.15
2020,46949,2.15
2022,20727,2.15
2020,51044,2.19
2023,69878,2.2
2022,63532,2.2
2022,69878,2.234
2023,6139,2.24
2022,33078,2.25
2022,4718,2.25
2022,29225,2.25
2019,63725,2.29
2020,16039,2.3
2021,16039,2.3
2023,69079,2.3
2023,69089,2.3
2023,49000,2.3
2023,4718,2.34
2019,53446,2.35
2020,53446,2.35
2023,50151,2.35
2022,50021,2.35
2022,64000,2.35
2021,31504,2.3625000000000003
2022,33235,2.375
2022,16039,2.4
2021,16805,2.4
2023,61238,2.4
2022,51218,2.4
2022,50151,2.41125
2022,51627,2.48
2021,46947,2.5
2021,43614,2.5
2023,23365,2.5
2023,61327,2.5
2022,61238,2.5
2022,5002,2.5
2021,51627,2.51
2022,3321,2.52
2019,16561,2.53
2018,16561,2.53
2019,50546,2.54
2022,64246,2.55
2022,64491,2.55
2018,50546,2.57
2020,50546,2.58
2020,2785,2.585
2020,16805,2.5999999999999996
2019,61239,2.6
2019,7014,2.6
2021,2778,2.6
2022,9210,2.6
2020,50478,2.6
2023,23137,2.6
2023,67908,2.6
2022,23137,2.6
2022,67908,2.6
2022,3858,2.6469230769230765
2022,4487,2.65
2020,23801,2.69
2021,23801,2.69
2023,3858,2.693636363636364
2022,63739,2.7
2023,23850,2.7
2022,11178,2.7000000000000006
2022,11172,2.7000000000000006
2022,50915,2.71
2021,2785,2.71
2023,22124,2.75
2022,22124,2.75
2022,24350,2.76
2023,5501,2.7800000000000002
2019,50153,2.7900000000000005
2019,16805,2.7999999999999994
2020,22612,2.84
2019,49173,2.89
2021,59249,2.89
2021,69587,2.89
2022,5501,2.89
2020,37114,2.9
2020,18509,2.9
2022,22767,2.94
2019,35309,2.95
2021,41312,2.95
2020,35309,2.99
2019,59249,2.99
2018,59249,2.99
2021,23549,2.99
2020,23549,2.99
2020,50533,3
2022,67577,3
2022,23211,3
2020,59249,3.035
2022,69448,3.05
2022,31504,3.09
2019,23759,3.1
2023,40315,3.1
2023,40317,3.1
2022,22836,3.1
2022,86259,3.1
2022,69643,3.1100000000000008
2020,3547,3.12
2022,59249,3.13
2023,11178,3.1333333333333333
2023,11172,3.1333333333333333
2020,41463,3.15
2022,67972,3.1580000000000004
2022,2715,3.16
2022,16805,3.25
2023,69643,3.2599999999999985
2023,51149,3.32
2023,59252,3.37
2022,23801,3.4
2022,23632,3.4499999999999997
2022,8044,3.45
2021,11715,3.45
2021,4384,3.4850000000000003
2022,2714,3.49
2023,47824,3.5
2022,47824,3.5
2022,67906,3.5
2021,56156,3.53
2023,35615,3.533333333333333
2022,59124,3.5500000000000003
2022,4152,3.57
2023,59124,3.58
2022,3443,3.58
2021,4903,3.59
2022,4903,3.59
2021,47106,3.6
2021,61251,3.62
2019,47818,3.74
2018,47818,3.74
2022,69587,3.74
2019,50999,3.75
2021,10354,3.75
2019,41312,3.79
2019,34009,3.8
2021,73280,3.8
2020,47818,3.8199999999999994
2022,62485,3.85
2020,61089,3.85
2020,18002,3.8620000000000005
2022,59173,3.87
2021,47818,3.8922222222222222
2022,23549,3.9
2020,3727,3.9
2023,2831,3.9199999999999995
2021,18002,3.95
2018,47152,3.95
2018,50633,3.95
2020,46877,3.95
2022,13778,3.95
2019,47152,3.9500000000000006
2019,18002,3.99
2018,18002,3.99
2023,4284,3.990000000000001
2022,4284,3.990000000000001
2022,23172,4
2020,56156,4.02
2020,22631,4.05
2022,2831,4.056666666666667
2023,31003,4.073333333333334
2022,31003,4.1409090909090915
2022,2873,4.18
2021,51228,4.23
2023,69166,4.23
2023,69099,4.23
2020,78567,4.25
2023,35310,4.25
2022,35309,4.25
2020,69166,4.345
2022,3400,4.35
2022,69099,4.4
2021,24024,4.403333333333333
2019,86652,4.45
2020,42186,4.5
2022,18002,4.6000000000000005
2020,2632,4.64
2023,13413,4.65
2021,69166,4.6899999999999995
2022,51228,4.6975
2022,47818,4.71875
2022,3682,4.730833333333334
2022,47819,4.75
2022,69166,4.828333333333333
2023,23670,4.9
2022,23670,4.9
2021,2781,4.95
2022,50124,5
2021,2632,5
2022,2836,5.09
2020,4448,5.16
2020,4918,5.32
2021,83436,5.64
2022,2807,5.8149999999999995
2022,3453,5.932
2020,24024,5.98
2020,13465,6
2022,24024,6.083333333333333
2022,61327,6.1
2022,3454,6.18
2022,61288,6.25
2021,4363,6.494999999999999
2022,13706,6.675
2023,3682,6.6925
2023,3453,6.7
2023,18086,6.8
2019,4740,6.83
2020,4364,6.84
2020,23926,6.9
2023,3454,7.450000000000001
2022,28957,7.79
2022,16806,8.1
2023,16806,8.8
2022,26997,8.88
2023,26997,9
2022,27426,9.24
2021,4364,9.4
2020,4740,9.5
2020,15569,9.85
2021,4740,10.25
2023,53445,12.23
2022,4740,13.2
2021,23231,14.95
2020,47566,15
