product_code,price_eu,collected_timestamp
28567.0,0.38,2024-03-13
27314.0,4.44,2024-03-13
27230.0,0.74,2024-03-13
27292.0,1.99,2024-03-13
27155.0,3.3,2024-03-13
27038.0,0.55,2024-03-13
27099.0,3.54,2024-03-13
27232.0,0.59,2024-03-13
27350.0,4.2,2024-03-13
27204.0,0.73,2024-03-13
27327.0,5.34,2024-03-13
27356.0,0.89,2024-03-13
27253.0,3.78,2024-03-13
27221.0,0.63,2024-03-13
28198.0,2.6,2024-03-13
27213.0,1.49,2024-03-13
28185.0,5.89,2024-03-13
27366.0,2.46,2024-03-13
27367.0,0.41,2024-03-13
27368.0,1.62,2024-03-13
27369.0,0.27,2024-03-13
27084.0,1.29,2024-03-13
27894.0,8.16,2024-03-13
27893.0,1.36,2024-03-13
27203.0,1.6,2024-03-13
27598.0,6.84,2024-03-13
27597.0,1.14,2024-03-13
27973.0,0.5,2024-03-13
27972.0,1.92,2024-03-13
27971.0,0.32,2024-03-13
27733.0,2.36,2024-03-13
27735.0,1.2,2024-03-13
29608.0,1.99,2024-03-13
29605.0,6.8,2024-03-13
29625.0,0.89,2024-03-13
28576.0,1.0,2024-03-13
28575.0,2.7,2024-03-13
28574.0,0.45,2024-03-13
29609.0,1.99,2024-03-13
29604.0,6.8,2024-03-13
29624.0,0.89,2024-03-13
29612.0,1.99,2024-03-13
28688.0,1.0,2024-03-13
28690.0,2.7,2024-03-13
28689.0,0.45,2024-03-13
29410.0,1.55,2024-03-13
29080.0,0.6,2024-03-13
27491.0,1.52,2024-03-13
5564.0,2.7,2024-03-13
27944.0,0.4,2024-03-13
28670.0,6.68,2024-03-13
28119.0,1.79,2024-03-13
28664.0,7.08,2024-03-13
28016.0,1.89,2024-03-13
28266.0,1.7,2024-03-13
28263.0,2.7,2024-03-13
28264.0,0.45,2024-03-13
29378.0,5.52,2024-03-13
27905.0,1.64,2024-03-13
29365.0,4.2,2024-03-13
27913.0,1.1,2024-03-13
28116.0,3.6,2024-03-13
13815.0,7.08,2024-03-13
13814.0,1.89,2024-03-13
40322.0,1.07,2024-03-13
40323.0,1.07,2024-03-13
52920.0,7.0,2024-03-13
52921.0,1.17,2024-03-13
60602.0,1.0,2024-03-13
27348.0,4.64,2024-03-13
27342.0,2.36,2024-03-13
28181.0,1.72,2024-03-13
28113.0,5.4,2024-03-13
29360.0,1.55,2024-03-13
27321.0,11.16,2024-03-13
27326.0,0.95,2024-03-13
29072.0,1.1,2024-03-13
29031.0,2.34,2024-03-13
29032.0,0.39,2024-03-13
23894.0,1.69,2024-03-13
27426.0,10.44,2024-03-13
27414.0,0.89,2024-03-13
27449.0,3.9,2024-03-13
27445.0,1.99,2024-03-13
13816.0,1.49,2024-03-13
28115.0,5.0,2024-03-13
29361.0,1.45,2024-03-13
27184.0,7.83,2024-03-13
27406.0,0.89,2024-03-13
26997.0,10.44,2024-03-13
27559.0,0.89,2024-03-13
28180.0,3.9,2024-03-13
27462.0,1.99,2024-03-13
29073.0,0.7,2024-03-13
29033.0,1.92,2024-03-13
29034.0,0.32,2024-03-13
29074.0,0.7,2024-03-13
29035.0,1.92,2024-03-13
29036.0,0.32,2024-03-13
23898.0,1.69,2024-03-13
27610.0,1.79,2024-03-13
13817.0,6.57,2024-03-13
27602.0,0.75,2024-03-13
27608.0,0.75,2024-03-13
29077.0,0.95,2024-03-13
29043.0,2.1,2024-03-13
29044.0,0.35,2024-03-13
29078.0,0.95,2024-03-13
29045.0,2.1,2024-03-13
29046.0,0.35,2024-03-13
27761.0,7.52,2024-03-13
27762.0,0.95,2024-03-13
26990.0,1.59,2024-03-13
28176.0,4.56,2024-03-13
27845.0,0.59,2024-03-13
27763.0,1.59,2024-03-13
22112.0,4.95,2024-03-13
27770.0,0.59,2024-03-13
29079.0,0.95,2024-03-13
29047.0,2.1,2024-03-13
29048.0,0.35,2024-03-13
29064.0,0.95,2024-03-13
27526.0,3.5,2024-03-13
27508.0,1.79,2024-03-13
