product,unidades,product_code
Salsa ligera Hacendado 60% menos de materia grasa,Tarro 500 ml,15793.0
Salsa ligera Hacendado 60% menos de materia grasa,Bote 460 ml,15794.0
Mayonesa en sobres individuales Hellmann's,Caja 15 sobres (150 ml),35209.0
Ketchup Hacendado,Bote 600 g,23579.0
Ketchup Hacendado en sobres individuales,Paquete 12 sobres (240 g),67586.0
Ketchup Heinz,Bote 570 g,17438.0
Ketchup zero azúcares añadidos Hacendado,Bote 600 g,35343.0
Mostaza dulce Hacendado,Bote 300 g,35207.0
Mostaza a la antigua Hacendado,Tarro 200 g,17229.0
Mostaza de Dijon Hacendado,Tarro 200 g,17228.0
Mostaza clásica Hacendado,Bote 388 g,23410.0
Allioli Chovi,Tarrina 180 ml,17150.0
Allioli Hacendado,Tarrina 200 ml,17172.0
Allioli en sobres individuales Hacendado,Paquete 8 sobres (160 ml),17173.0
Tomate frito Hacendado,3 bricks x 400 g ,17132.0
Tomate frito Hacendado,3 mini bricks x 210 g ,17151.0
Tomate frito Hacendado,Tarro 560 g,17108.0
Tomate frito receta artesana Hacendado con aceite de oliva,Tarro 560 g,17163.0
Tomate frito receta artesana Hacendado con aceite de oliva,Tarro 300 g,17131.0
Tomate frito estilo casero Hacendado con aceite de oliva,Brick 380 g,17153.0
Tomate frito Hacendado con aceite de oliva,3 mini bricks x 210 g ,17128.0
Tomate frito sin azúcares añadidos Hacendado,Tarro 560 g,17330.0
Tomate frito con cebolla Hacendado con aceite de oliva,Brick 380 g,17154.0
Salsa barbacoa Hacendado,Bote 350 g,17346.0
Salsa pimienta verde Hacendado,Sobre 50 g,17502.0
Salsa burger Hacendado,Bote 250 ml,17347.0
Salsa barbacoa dulce y picante Hacendado,Botella 250 ml,17373.0
Salsa estilo argentino Hacendado,Tarro 285 g,17081.0
Salsa Piri Piri Hacendado,Botella 195 ml,17396.0
Salsa boloñesa Hacendado,Tarro 300 g,17169.0
"Salsa de tomate, albahaca y orégano Hacendado",Tarro 300 g,17283.0
Salsa fresca Trufa Hacendado,Paquete 140 g,17410.0
Salsa fresca Queso Hacendado,Paquete 180 g,17409.0
Salsa fresca Pesto Hacendado,Paquete 150 g,17419.0
Salsa fresca Setas Bendita,Paquete 180 g,35184.0
Salsa fresca Carbonara Bendita,Paquete 200 g,35183.0
Salsa de soja Hacendado,Botella 250 ml,17360.0
Salsa teriyaki Hacendado,Botella 250 ml,17362.0
Salsa de soja dulce Hacendado,Botella 250 ml,17361.0
Salsa agridulce Salsas Asturianas,Bote 340 g,22721.0
Salsa thai chili dulce J-Lek,Botella 250 ml,22613.0
Salsa de soja sin gluten Hacendado,Botella 250 ml,17382.0
Guacamole Hacendado 95% aguacate fresco,Tarrina 500 g,3840.0
Guacamole Hacendado 95% aguacate fresco,Tarrina 200 g,3852.0
Salsa yogur Hacendado, ,17327.0
Salsa mexicana Hacendado,Tarro 300 g,17327.0
Salsa ranchera Hacendado,Bote 250 ml,17386.0
Salsa césar Hacendado,Bote 310 ml,17366.0
"Aliño de aceite, ajo y perejil Hacendado",Tarrina 150 ml,17265.0
Salsa miel y mostaza Hacendado,Bote 300 ml,17263.0
Salsa de trufas,Bote 80 g,17259.0
Salsa gajos rústica Hacendado,Bote 250 ml,17348.0
Salsa de queso Hacendado,Tarro 280 ml,35344.0
