description,units,price_eu,unit_price,date,order_num,user
Yogur natural Hacendado 0% materia grasa 0% sin azúcares,1,0.77,0.77,2019-01-31,107492,family
Yogur natural edulcorado Hacendado 0% materia grasa 0% sin azúcares añadidos,1,0.79,0.79,2019-01-31,107492,family
Suavizante ropa talco Bosque Verde concentrado,1,1.79,1.79,2019-01-31,107492,family
Nata ligera para cocinar Hacendado,1,1.32,1.32,2019-01-31,107492,family
Huevos grandes L,1,1.45,1.45,2019-01-31,107492,family
Discos desmaquillantes Deliplus redondos,2,1.9,0.95,2019-01-31,107492,family
Jamón serrano Incarlopsa lonchas extrafinas,1,1.99,1.99,2019-01-31,107492,family
Café en cápsula sontuoso L'Or Espresso,2,6.58,3.29,2019-01-31,107492,family
Café en cápsula ristretto L'Or Espresso,3,9.87,3.29,2019-01-31,107492,family
Arroz cocido integral Brillante,1,1.1,1.1,2019-01-31,107492,family
Agua mineral Bronchales grande,1,2.4,2.4,2019-01-31,107492,family
Papel higiénico doble rollo Bosque Verde,1,3.74,3.74,2019-01-31,107492,family
Tomate frito receta artesana Hacendado,1,1.7,1.7,2019-01-31,107492,family
Queso rallado Entrepinares,1,1.0,1.0,2019-01-31,107492,family
Garbanzo cocido Hacendado,1,0.7,0.7,2019-01-31,107492,family
Maíz dulce Hacendado,2,1.9,0.95,2019-01-31,107492,family
Hogaza 100% natural,1,1.0,1.0,2019-01-31,107492,family
Longaniza fresca d' Ontinyent,1,2.56,2.56,2019-01-31,107492,family
Morcilla oreada d' Ontinyent,1,1.36,1.36,2019-01-31,107492,family
Chorizo oreado,1,1.8,1.8,2019-01-31,107492,family
Aguacate,1,1.64,1.64,2019-01-31,107492,family
Solomillo de cerdo,1,4.37,4.37,2019-01-31,107492,family
Solomillo de pavo,1,3.39,3.39,2019-01-31,107492,family
Queso havarti light Hacendado lonchas,1,2.58,2.58,2019-01-31,107492,family
Queso curado Entrepinares,1,3.14,3.14,2019-01-31,107492,family
Agua mineral grande Cortes,2,1.46,0.73,2022-09-28,470822,family
Papel Multiusos Resistente Bosque Verde,1,3.4,3.4,2022-09-28,470822,family
Queso fresco de cabra Hacendado,1,2.4,2.4,2022-09-28,470822,family
Papel higiénico Doble Rollo Bosque Verde,1,4.75,4.75,2022-09-28,470822,family
Servilleta papel Bosque Verde,1,1.3,1.3,2022-09-28,470822,family
Gel de baño avena Deliplus piel sensible,1,1.2,1.2,2022-09-28,470822,family
Garbanzo cocido Hacendado,2,1.5,0.75,2022-09-28,470822,family
Escalopines de salmón sin espinas,1,9.72,9.72,2022-09-28,470822,family
Filetes de lubina,1,6.99,6.99,2022-09-28,470822,family
Pechugas enteras de pollo,1,4.73,4.73,2022-09-28,470822,family
Queso tierno mezcla Hacendado,1,2.71,2.71,2022-09-28,470822,family
Longaniza fresca d'Ontinyent,1,2.92,2.92,2022-09-28,470822,family
Filetes pechuga de pollo corte fino,1,4.64,4.64,2022-09-28,470822,family
Calabaza cacahuete cortada a trozos,1,1.85,1.85,2022-09-28,470822,family
Aceitunas manzanilla rellenas de anchoa Hacendado,1,2.25,2.25,2022-09-28,470822,family
Cebollas tiernas,1,1.19,1.19,2022-09-28,470822,family
Pimientos del piquillo enteros Hacendado extra,1,1.2,1.2,2022-09-28,470822,family
Corazones de alcachofa Hacendado,2,5.6,2.8,2022-09-28,470822,family
"Pimientos tricolor rojo, amarillo y verde",1,1.64,1.64,2022-09-28,470822,family
Refresco Coca-Cola Zero azúcar,1,9.36,9.36,2022-09-28,470822,family
Cerveza tostada Turia,1,6.0,6.0,2022-09-28,470822,family
Longaniza de payés Hacendado lonchas,1,1.83,1.83,2022-09-28,470822,family
Jamón cocido extra Hacendado finas lonchas,1,3.09,3.09,2022-09-28,470822,family
Pechuga de pavo bajo en sal Hacendado finas lonchas,1,3.15,3.15,2022-09-28,470822,family
Trampa antipolillas de los alimentos Bosque Verde,1,2.0,2.0,2022-09-28,470822,family
Estropajo suciedad resistente Bosque Verde,1,0.85,0.85,2022-09-28,470822,family
Abrillantador lavavajillas líquido Bosque Verde,1,1.2,1.2,2022-09-28,470822,family
Mejillones en escabeche Hacendado medianos,2,4.0,2.0,2022-09-28,470822,family
Maíz dulce Hacendado,1,1.2,1.2,2022-09-28,470822,family
Tomate frito receta artesana Hacendado,1,2.2,2.2,2022-09-28,470822,family
Mayonesa Hellmann's,1,2.65,2.65,2022-09-28,470822,family
Huevos grandes L,1,2.15,2.15,2022-09-28,470822,family
Gazpacho fresco Hacendado,1,2.4,2.4,2022-09-28,470822,family
Chorizo extra Hacendado lonchas,1,1.7,1.7,2022-09-28,470822,family
Queso untar light Philadelphia,1,2.45,2.45,2022-09-28,470822,family
Atún claro en aceite de oliva Hacendado,2,9.3,4.65,2022-09-28,470822,family
Jamón serrano Incarlopsa lonchas extrafinas,2,4.56,2.28,2022-09-28,470822,family
Aceite de oliva virgen extra Hacendado,1,12.7,12.7,2022-09-28,470822,family
Mini taquitos de jamón Incarlopsa,1,2.29,2.29,2022-09-28,470822,family
Dentífrico Max White One Colgate,1,2.0,2.0,2022-09-28,470822,family
Aceitunas negras Hacendado a rodajas,1,1.3,1.3,2022-09-28,470822,family
Limpiacristales y multiusos Bosque Verde,1,1.15,1.15,2022-09-28,470822,family
Fregona Resistente y Absorbente Bosque Verde,1,1.85,1.85,2022-09-28,470822,family
Friegasuelos Pino Bosque Verde líquido,1,0.95,0.95,2022-09-28,470822,family
Sal lavavajillas Bosque Verde en grano,1,0.6,0.6,2022-09-28,470822,family
Pimientos rojos asados Hacendado en tiras extra,1,1.0,1.0,2022-09-28,470822,family
Palitos de pan 100% integral Anitin,1,1.35,1.35,2022-09-28,470822,family
Rosquilletas de horno Anitin,1,1.45,1.45,2022-09-28,470822,family
Barra de pan tradicional,1,1.2,1.2,2022-09-28,470822,family
6 Panecillos integrales 100%,1,1.0,1.0,2022-09-28,470822,family
Patatas,1,4.4,4.4,2022-09-28,470822,family
Cebollas,1,1.99,1.99,2022-09-28,470822,family
Quitagrasas KH-7,1,3.4,3.4,2022-09-28,470822,family
Suavizante ropa Talco Bosque Verde concentrado,1,1.9,1.9,2022-09-28,470822,family
Detergente ropa Blanca y de Color Bosque Verde líquido concentrado,1,6.1,6.1,2022-09-28,470822,family
Leche desnatada Pascual,2,13.08,6.54,2022-09-28,470822,family
Zanahorias,1,0.59,0.59,2022-09-28,470822,family
Caldo de carne Hacendado en pastillas,1,0.82,0.82,2019-11-01,95302,family
Caldo de pollo Avecrem en pastillas,1,2.6,2.6,2019-11-01,95302,family
Cebolla,1,1.05,1.05,2019-11-01,95302,family
Estropajo verde Bosque Verde con esponja,1,1.0,1.0,2019-11-01,95302,family
Fregasuelos spa Bosque Verde líquido,1,1.05,1.05,2019-11-01,95302,family
Sal lavavajillas Bosque Verde en grano,1,1.04,1.04,2019-11-01,95302,family
Limpiacristales y multiusos Bosque Verde,1,1.15,1.15,2019-11-01,95302,family
Limpiador baños Bosque Verde en gel,1,1.3,1.3,2019-11-01,95302,family
Arroz redondo La Fallera,1,1.35,1.35,2019-11-01,95302,family
Compresa con alas normal Evax cotton like,1,3.95,3.95,2019-11-01,95302,family
Aceite de oliva virgen Hacendado,1,9.3,9.3,2019-11-01,95302,family
Plátano,4,1.11,0.2775,2019-11-01,95302,family
Desodorante roll-on unisex Sanex dermo extra control,1,1.8,1.8,2019-11-01,95302,family
Jabón de manos dermoprotector Deliplus líquido,1,0.8,0.8,2019-11-01,95302,family
Fusilli Armando,1,0.95,0.95,2019-11-01,95302,family
Queso untar light blanco pasteurizado Philadelphia,1,2.1,2.1,2019-11-01,95302,family
Caldo de verduras en pastillas,1,0.44,0.44,2019-11-01,95302,family
Galletas cookies Hacendado,1,1.25,1.25,2019-11-01,95302,family
Tomate frito Hacendado,1,0.8,0.8,2019-11-01,95302,family
"Champú agua de coco Fructis raíces grasas, puntas secas",2,5.9,2.95,2019-11-01,95302,family
Gel de baño oliva Deliplus piel seca,1,1.35,1.35,2019-11-01,95302,family
Burger de pollo certificado gruesas alimentado con un 50% de maíz,2,6.0,3.0,2021-09-28,209834,family
Jamón serrano Incarlopsa lonchas extrafinas,2,4.38,2.19,2021-09-28,209834,family
Servilleta papel Bosque Verde,1,0.9,0.9,2021-09-28,209834,family
Atún claro en aceite de oliva Hacendado,1,3.95,3.95,2021-09-28,209834,family
Café en cápsula ristretto L'Or Espresso,4,13.6,3.4,2021-09-28,209834,family
Papel higiénico Doble Rollo Bosque Verde,1,3.95,3.95,2021-09-28,209834,family
Gelatina 0% azúcar sabor fresa Hacendado,1,0.9,0.9,2021-09-28,209834,family
Agua mineral grande Cortes,2,1.46,0.73,2021-09-28,209834,family
Leche desnatada Pascual,2,10.68,5.34,2021-09-28,209834,family
Salmón ahumado Hacendado,1,3.11,3.11,2021-09-28,209834,family
Aguacates,1,2.74,2.74,2021-09-28,209834,family
Filetes de dorada,1,6.4,6.4,2021-09-28,209834,family
Boquerones en vinagre Hacendado en aceite de girasol,1,1.6,1.6,2021-09-28,209834,family
Vinagre de vino blanco Hacendado,1,0.47,0.47,2021-09-28,209834,family
Aceite de oliva virgen extra Hacendado,1,11.0,11.0,2021-09-28,209834,family
Comida perro adulto Supreme Compy con pollo y arroz,1,4.15,4.15,2021-09-28,209834,family
Detergente ropa Blanca y de Color Bosque Verde líquido concentrado,1,6.95,6.95,2021-09-28,209834,family
Jabón de manos neutralizante de olores Deliplus líquido,1,1.5,1.5,2021-09-28,209834,family
Limpiador Baños Bosque Verde en gel,1,1.3,1.3,2021-09-28,209834,family
"Salteado de gambas, ajetes y espárragos verdes Hacendado ultracongelado",1,2.4,2.4,2021-09-28,209834,family
Canónigos base para ensalada,1,1.19,1.19,2021-09-28,209834,family
"Pimientos tricolor rojo, amarillo y verde",1,1.79,1.79,2021-09-28,209834,family
Arroz cocido integral Sabroz,1,1.0,1.0,2021-09-28,209834,family
Salteado de verduras Hacendado ultracongelado,1,1.4,1.4,2021-09-28,209834,family
Salchichas cocidas estilo Frankfurt Hacendado de pollo y cerdo sabor ahumado,1,1.45,1.45,2021-09-28,209834,family
Tiras de pechuga de pollo al natural Hacendado,2,3.78,1.89,2021-09-28,209834,family
Tomates cherry,1,1.49,1.49,2021-09-28,209834,family
Jabón de manos dermoprotector Deliplus líquido,1,0.75,0.75,2021-09-28,209834,family
Fritada pisto Hacendado,2,1.9,0.95,2021-09-28,209834,family
Jabón de manos dermoprotector Deliplus líquido,1,0.75,0.75,2022-04-02,986079,family
Tomates cherry,1,1.49,1.49,2022-04-02,986079,family
Garbanzo cocido Hacendado,2,1.6,0.8,2022-04-02,986079,family
Gel de baño oliva Deliplus piel seca,2,2.4,1.2,2022-04-02,986079,family
Agua mineral grande Cortes,2,1.46,0.73,2022-04-02,986079,family
Aguacates,1,2.54,2.54,2022-04-02,986079,family
Champú fuerza & brillo Fructis cabello normal,1,2.95,2.95,2019-10-04,156155,family
Suavizante ropa azul Bosque Verde concentrado,1,1.79,1.79,2019-10-04,156155,family
Refresco Coca-Cola,1,6.6,6.6,2019-10-04,156155,family
Refresco Coca-Cola zero azúcar,1,6.6,6.6,2019-10-04,156155,family
Papel multiusos jumbo resistente Bosque Verde,1,2.89,2.89,2019-10-04,156155,family
Yogur natural Hacendado 0% materia grasa 0% sin azúcares,1,0.77,0.77,2019-10-04,156155,family
Ajo morado,1,1.2,1.2,2019-10-04,156155,family
Lomo embuchado Hacendado lonchas,1,1.71,1.71,2019-10-04,156155,family
Lavavajillas ultra original Fairy líquido,1,2.8,2.8,2019-10-04,156155,family
Fregasuelos spa Bosque Verde líquido,1,1.05,1.05,2019-10-04,156155,family
Aceitunas negras cacereñas Hacendado a rodajas,1,1.5,1.5,2019-10-04,156155,family
Servilleta papel Bosque Verde,1,0.92,0.92,2019-10-04,156155,family
Longaniza de payés Hacendado lonchas,1,1.45,1.45,2019-10-04,156155,family
Bacón Oscar Mayer lonchas,1,1.75,1.75,2019-10-04,156155,family
Detergente ropa blanca y de color Bosque Verde líquido concentrado,1,6.95,6.95,2019-10-04,156155,family
Jamón cocido extra Hacendado finas lonchas,1,2.99,2.99,2019-10-04,156155,family
Atún claro en aceite de oliva Hacendado,1,3.99,3.99,2019-10-04,156155,family
Albóndigas de carne Tenedor Plata ultracongeladas,1,1.6,1.6,2019-10-04,156155,family
Limpiacristales y multiusos Bosque Verde,1,1.15,1.15,2019-10-04,156155,family
Cebolla,1,1.8,1.8,2019-10-04,156155,family
Pizza masa fina 4 quesos Hacendado ultracongelada,1,2.29,2.29,2019-10-04,156155,family
Jabón de manos dermoprotector Deliplus líquido,1,0.8,0.8,2018-11-13,61858,family
Gel de baño oliva Deliplus piel seca,3,4.05,1.35,2018-11-13,61858,family
Desodorante unisex Deliplus cuidado aloe,1,1.4,1.4,2018-11-13,61858,family
Desodorante roll-on unisex Sanex dermo extra control,1,1.8,1.8,2018-11-13,61858,family
"Champú agua de coco Fructis raíces grasas, puntas secas",2,5.9,2.95,2018-11-13,61858,family
Crema suavizante Deliplus para todo tipo de cabello,1,0.99,0.99,2018-11-13,61858,family
Tomate frito Hacendado,1,0.8,0.8,2018-11-13,61858,family
Tomate frito receta artesana Hacendado,2,3.4,1.7,2018-11-13,61858,family
Caldo de verduras en pastillas,1,0.44,0.44,2018-11-13,61858,family
Caldo de verduras Hacendado,1,1.0,1.0,2018-11-13,61858,family
Caldo de pollo Hacendado,1,1.64,1.64,2018-11-13,61858,family
Espárragos muy gruesos Hacendado blancos enteros,1,2.53,2.53,2018-11-13,61858,family
Maíz dulce Hacendado,1,0.95,0.95,2018-11-13,61858,family
Mejillones en escabeche Hacendado pequeños,1,2.0,2.0,2018-11-13,61858,family
Berberechos al natural S Du nord,1,1.78,1.78,2018-11-13,61858,family
Atún claro en aceite de oliva Hacendado,1,3.99,3.99,2018-11-13,61858,family
Queso fresco de cabra Hacendado,1,2.0,2.0,2018-11-13,61858,family
Queso untar light blanco pasteurizado Philadelphia,1,2.1,2.1,2018-11-13,61858,family
Queso en porciones light El Caserio,1,1.7,1.7,2018-11-13,61858,family
Queso rallado Entrepinares,1,1.0,1.0,2018-11-13,61858,family
Queso en polvo grana padano Zanetti,1,1.4,1.4,2018-11-13,61858,family
Dados de queso curado y cheddar Hacendado,1,0.99,0.99,2018-11-13,61858,family
Mini taquitos de jamón Incarlopsa,1,1.95,1.95,2018-11-13,61858,family
Jamón serrano Incarlopsa lonchas extra finas,1,1.99,1.99,2018-11-13,61858,family
Taquitos de chorizo Revilla,1,2.1,2.1,2018-11-13,61858,family
Chorizo extra Hacendado lonchas,1,1.39,1.39,2018-11-13,61858,family
Longaniza de payés Hacendado lonchas,1,1.45,1.45,2018-11-13,61858,family
Salchichón extra Hacendado lonchas,1,1.39,1.39,2018-11-13,61858,family
Bacón Oscar Mayer lonchas,1,1.75,1.75,2018-11-13,61858,family
Bacón Hacendado cintas,1,1.85,1.85,2018-11-13,61858,family
Pechuga de pavo Hacendado finas lonchas,1,2.95,2.95,2018-11-13,61858,family
Jamón cocido extra Hacendado finas lonchas,1,2.99,2.99,2018-11-13,61858,family
Barquillos rellenos de chocolate Hacendado,1,1.95,1.95,2018-11-13,61858,family
Galletas Oreo,2,2.0,1.0,2018-11-13,61858,family
Galletas cookies Hacendado,1,1.25,1.25,2018-11-13,61858,family
Galletas digestive fibra 23% Hacendado,1,1.4,1.4,2018-11-13,61858,family
Café en cápsula sontuoso L'Or Espresso,2,6.58,3.29,2018-11-13,61858,family
Café en cápsula ristretto L'Or Espresso,3,9.87,3.29,2018-11-13,61858,family
Vino blanco Don Simón chardonnay airén,1,1.28,1.28,2018-11-13,61858,family
Chocolate con leche Lindt,1,1.15,1.15,2018-11-13,61858,family
Chocolate con leche Milka,1,1.01,1.01,2018-11-13,61858,family
Fideo cabello de ángel Hacendado,1,0.63,0.63,2018-11-13,61858,family
Pasta maravilla Hacendado,1,0.6,0.6,2018-11-13,61858,family
Ñoquis frescos de patata Il Pastaio,1,1.09,1.09,2018-11-13,61858,family
Fusilli Armando,1,0.95,0.95,2018-11-13,61858,family
Pajaritas con vegetales Hacendado,1,0.69,0.69,2018-11-13,61858,family
Lenteja cocida Hacendado,1,0.59,0.59,2018-11-13,61858,family
Alubia cocida blanca Hacendado,1,0.5,0.5,2018-11-13,61858,family
Alubia cocida blanca Hacendado,1,0.59,0.59,2018-11-13,61858,family
Garbanzo cocido Hacendado,1,0.54,0.54,2018-11-13,61858,family
Garbanzo cocido Hacendado,1,0.7,0.7,2018-11-13,61858,family
Arroz cocido integral Brillante,1,1.1,1.1,2018-11-13,61858,family
Tortitas de maíz tex-mex Hacendado,1,0.85,0.85,2018-11-13,61858,family
Patatas fritas extra crujientes Hacendado,1,1.45,1.45,2018-11-13,61858,family
Aceitunas negras cacereñas Hacendado a rodajas,1,1.5,1.5,2018-11-13,61858,family
Aceitunas manzanilla rellenas de anchoa Hacendado,1,2.15,2.15,2018-11-13,61858,family
Agua mineral Cortes,1,0.73,0.73,2018-11-13,61858,family
Calabaza cacahuete cortada a trozos,1,1.89,1.89,2018-11-13,61858,family
Calabaza cacahuete cortada a trozos,1,1.49,1.49,2018-11-13,61858,family
Arreglo arroz al horno,1,4.16,4.16,2018-11-13,61858,family
Solomillo de pavo,1,3.97,3.97,2018-11-13,61858,family
Longaniza fresca d' Ontinyent,1,2.45,2.45,2018-11-13,61858,family
Chorizo oreado,1,1.81,1.81,2018-11-13,61858,family
Morcilla oreada d' Ontinyent,1,1.39,1.39,2018-11-13,61858,family
Queso grana padano Zanetti,1,3.11,3.11,2018-11-13,61858,family
Queso havarti light Hacendado lonchas,1,2.57,2.57,2018-11-13,61858,family
Queso de cabra semicurado Montesinos,1,3.95,3.95,2018-11-13,61858,family
Servilleta papel Bosque Verde,1,0.9,0.9,2020-12-15,686714,family
Cebollas nuevas,1,1.7,1.7,2020-12-15,686714,family
Zanahorias,1,0.69,0.69,2020-12-15,686714,family
Albóndigas de carne Tenedor Plata ultracongeladas,1,1.6,1.6,2020-12-15,686714,family
Calabacín verde,4,2.27,0.5675,2020-12-15,686714,family
Plátano,5,1.96,0.392,2020-12-15,686714,family
Champú Repara & Protege Pantene cabello débil y dañado,1,2.25,2.25,2020-12-15,686714,family
Champú Color Vive Elvive cabello teñido o con mechas,2,5.9,2.95,2020-12-15,686714,family
Limpiador baños Bosque Verde en gel,1,1.3,1.3,2020-12-15,686714,family
Quitagrasas KH-7,1,2.69,2.69,2020-12-15,686714,family
Suavizante ropa azul Bosque Verde concentrado,1,1.79,1.79,2020-12-15,686714,family
Lavavajillas ultra original Fairy líquido,1,2.4,2.4,2020-12-15,686714,family
Salmón marinado Ubago,1,2.35,2.35,2020-12-15,686714,family
Corazones de alcachofa Hacendado,1,2.3,2.3,2020-12-15,686714,family
Penne integral Hacendado,1,0.89,0.89,2020-12-15,686714,family
Fusilli Armando,1,0.95,0.95,2020-12-15,686714,family
Spaghetti al huevo Hacendado,2,1.98,0.99,2020-12-15,686714,family
Macarrón al huevo Hacendado,1,0.99,0.99,2020-12-15,686714,family
Queso en polvo grana padano Hacendado,1,1.5,1.5,2020-12-15,686714,family
Queso havarti light Hacendado lonchas,1,2.58,2.58,2020-12-15,686714,family
Pechuga de pavo Hacendado finas lonchas,1,2.89,2.89,2020-12-15,686714,family
Pan de molde con 30% avena Hacendado,1,1.25,1.25,2020-12-15,686714,family
Crema al cacao con avellanas Nutella,1,2.6,2.6,2020-12-15,686714,family
Batata,2,1.5,0.75,2020-12-15,686714,family
Tomate ensalada,3,1.42,0.4733333333333333,2020-12-15,686714,family
Rosquilletas tradicionales Hacendado,1,1.0,1.0,2020-12-15,686714,family
Pan integral 100% rebanado,1,1.6,1.6,2020-12-15,686714,family
Salsa de soja Hacendado,1,1.35,1.35,2020-12-15,686714,family
Queso fresco de cabra Hacendado,1,2.2,2.2,2020-12-15,686714,family
Queso rallado 4 quesos Hacendado,1,1.59,1.59,2020-12-15,686714,family
Perlas de mozzarella fresca Hacendado,1,1.7,1.7,2020-12-15,686714,family
Mozzarella di bufala campana Hacendado,2,3.4,1.7,2020-12-15,686714,family
Salchichón extra pimienta Hacendado finas lonchas,1,1.38,1.38,2020-12-15,686714,family
Mortadela italiana Hacendado finas lonchas,1,1.55,1.55,2020-12-15,686714,family
Corazones de alcachofa Hacendado,1,2.3,2.3,2021-09-09,101295,family
Lavavajillas Ultra Original Fairy líquido,1,2.4,2.4,2021-09-09,101295,family
Tomate frito receta artesana Hacendado,2,3.4,1.7,2021-09-09,101295,family
Atún claro en aceite de oliva Hacendado,1,3.95,3.95,2021-09-09,101295,family
Gelatina 0% azúcar sabor fresa Hacendado,2,1.8,0.9,2021-09-09,101295,family
Café en cápsula ristretto L'Or Espresso,4,13.6,3.4,2021-09-09,101295,family
Pechuga de pavo Hacendado finas lonchas,2,5.58,2.79,2021-09-09,101295,family
Fusilli Armando,1,0.95,0.95,2021-09-09,101295,family
Agua mineral grande Cortes,2,1.46,0.73,2021-09-09,101295,family
Garbanzo cocido Hacendado,2,1.34,0.67,2021-09-09,101295,family
Papel higiénico Doble Rollo Bosque Verde,1,3.95,3.95,2021-09-09,101295,family
Leche desnatada Pascual,2,10.68,5.34,2021-09-09,101295,family
Percarbonato Blanqueante Bosque Verde,1,1.7,1.7,2021-09-09,101295,family
Jabón en escamas Capricho con aceite de coco y glicerina,1,1.9,1.9,2021-09-09,101295,family
Fritada pisto Hacendado,2,1.9,0.95,2021-09-09,101295,family
Filetes pechuga de pavo,1,4.63,4.63,2021-09-09,101295,family
Morcilla oreada d' Ontinyent,1,1.54,1.54,2021-09-09,101295,family
Filetes de dorada,1,4.87,4.87,2021-09-09,101295,family
Salmón ahumado Hacendado,1,2.65,2.65,2021-09-09,101295,family
Filetes pechuga de pollo corte fino,1,5.33,5.33,2021-09-09,101295,family
Chorizo oreado,1,2.01,2.01,2021-09-09,101295,family
Solomillo de pavo,1,3.92,3.92,2021-09-09,101295,family
Aguacates,1,2.02,2.02,2021-09-09,101295,family
Tiras de pechuga de pollo al natural Hacendado,1,1.89,1.89,2021-09-09,101295,family
Salchichas cocidas estilo Frankfurt Hacendado de pollo y cerdo sabor ahumado,1,1.45,1.45,2021-09-09,101295,family
Comida perro adulto Supreme Compy con salmón y arroz,1,4.5,4.5,2021-09-09,101295,family
Dentífrico Max White One Colgate,2,5.0,2.5,2021-09-09,101295,family
Dentífrico Pro-Expert Oral-B con flúor menta fresca,1,3.0,3.0,2021-09-09,101295,family
Bífidus cremoso desnatado natural edulcorado Hacendado 0% m.g 0% sin azúcares añadidos,1,1.3,1.3,2021-09-09,101295,family
Rosquilletas de horno saladitas Anitin,1,1.35,1.35,2021-09-09,101295,family
Mascarilla Nutri Rizos Fructis cabello rizado,1,3.8,3.8,2021-09-09,101295,family
Filetes de caballa del sur bajo contenido en sal Hacendado en aceite de oliva,1,1.8,1.8,2021-09-09,101295,family
Amoníaco perfumado Bosque Verde,1,0.59,0.59,2021-09-09,101295,family
Burger de vacuno gruesas,1,3.0,3.0,2021-09-09,101295,family
Burger de pollo rural gruesas,2,6.0,3.0,2021-09-09,101295,family
Jamón serrano Incarlopsa lonchas extrafinas,2,4.38,2.19,2021-09-09,101295,family
Servilleta papel Bosque Verde,1,0.9,0.9,2021-09-09,101295,family
Lenteja cocida pardina Hacendado,2,1.1,0.55,2021-09-09,101295,family
Curry Hacendado,1,1.05,1.05,2022-09-11,786946,family
Caldo de pollo Hacendado en pastillas,1,1.0,1.0,2022-09-11,786946,family
Caldo de verduras Hacendado en pastillas,1,0.55,0.55,2022-09-11,786946,family
Caldo de carne Hacendado en pastillas,1,0.55,0.55,2022-09-11,786946,family
Mantequilla Tradicional Asturiana,1,3.15,3.15,2022-09-11,786946,family
Agua mineral grande Bronchales,2,2.28,1.14,2022-09-11,786946,family
Limpiador Muebles jabonoso para Madera Bosque Verde,1,1.5,1.5,2022-09-11,786946,family
Suavizante ropa Azul Bosque Verde concentrado,1,1.9,1.9,2022-09-11,786946,family
Detergente ropa Blanca y de Color Bosque Verde líquido concentrado,1,6.1,6.1,2022-09-11,786946,family
Abrillantador lavavajillas líquido Bosque Verde,1,1.2,1.2,2022-09-11,786946,family
Sal lavavajillas Bosque Verde en grano,1,0.6,0.6,2022-09-11,786946,family
Lavavajillas Todo en 1 Bosque Verde en pastillas,1,2.7,2.7,2022-09-11,786946,family
Cebollas,1,1.05,1.05,2022-09-11,786946,family
Bayeta suave multiusos Bosque Verde,1,1.2,1.2,2022-09-11,786946,family
Longaniza de payés Hacendado lonchas,1,1.83,1.83,2022-09-11,786946,family
Limpiacristales y multiusos Bosque Verde,1,1.15,1.15,2022-09-11,786946,family
Mejillones en escabeche Hacendado medianos,1,2.0,2.0,2022-09-11,786946,family
Corazones de alcachofa Hacendado,1,2.8,2.8,2022-09-11,786946,family
Chorizo extra Hacendado lonchas,1,1.7,1.7,2022-09-11,786946,family
Salmorejo fresco Hacendado,1,2.8,2.8,2022-09-11,786946,family
Gazpacho fresco Hacendado,1,2.5,2.5,2022-09-11,786946,family
Limpiador Baños Bosque Verde en gel,1,1.45,1.45,2022-09-11,786946,family
Queso fresco de cabra Hacendado,1,2.6,2.6,2022-09-11,786946,family
Aceite de oliva virgen extra Hacendado,1,14.7,14.7,2022-09-11,786946,family
Papel Multiusos Resistente Bosque Verde,1,3.6,3.6,2022-09-11,786946,family
Mini taquitos de jamón Incarlopsa,1,2.29,2.29,2022-09-11,786946,family
Leche desnatada Pascual,2,13.08,6.54,2022-09-11,786946,family
Servilleta papel Cocktail Bosque Verde,1,2.2,2.2,2022-09-11,786946,family
Tomate frito receta artesana Hacendado,1,2.15,2.15,2022-09-11,786946,family
Papel higiénico Doble Rollo Bosque Verde,1,5.0,5.0,2022-09-11,786946,family
Atún claro en aceite de oliva Hacendado,1,3.99,3.99,2020-08-27,134160,family
Tomate frito receta artesana Hacendado,1,1.7,1.7,2020-08-27,134160,family
Pan rallado con ajo y perejil Hacendado,1,0.8,0.8,2020-08-27,134160,family
Pan de molde espelta 100% integral Hacendado,1,1.1,1.1,2020-08-27,134160,family
Hogaza 100% natural,1,1.0,1.0,2020-08-27,134160,family
Calabacín verde,4,1.82,0.455,2020-08-27,134160,family
Penne integral Hacendado,1,0.89,0.89,2020-08-27,134160,family
Gelatina 0% azúcar sabor fresa Hacendado,1,0.98,0.98,2020-08-27,134160,family
Piadinas pan estilo italiano Hacendado,1,1.95,1.95,2020-08-27,134160,family
Papel multiusos resistente Bosque Verde,1,2.89,2.89,2020-08-27,134160,family
Leche desnatada Pascual,1,5.34,5.34,2020-08-27,134160,family
Lavavajillas todo en 1 Fairy en pastillas,1,4.5,4.5,2020-08-27,134160,family
Escalivada Hacendado,1,1.99,1.99,2020-08-27,134160,family
Espárrago verde grueso,1,2.99,2.99,2020-08-27,134160,family
Corazones de alcachofa Hacendado,2,4.6,2.3,2020-08-27,134160,family
Quinoa cocida blanca y roja Hacendado,2,2.7,1.35,2020-08-27,134160,family
Lenteja cocida pardina Hacendado,1,0.49,0.49,2020-08-27,134160,family
Yogur cremoso Hacendado natural edulcorado,1,1.3,1.3,2020-08-27,134160,family
Garbanzo cocido Hacendado,2,1.4,0.7,2020-08-27,134160,family
Agua mineral Cortes,2,1.46,0.73,2020-08-27,134160,family
Huevos grandes L,1,1.45,1.45,2020-08-27,134160,family
Salmorejo fresco Hacendado,2,5.1,2.55,2020-08-27,134160,family
Sal lavavajillas Bosque Verde en pastillas,1,1.4,1.4,2020-08-27,134160,family
Friegasuelos pino Bosque Verde líquido,1,0.68,0.68,2020-08-27,134160,family
Papel higiénico doble rollo Bosque Verde,1,3.82,3.82,2020-08-27,134160,family
Bolsa de basura Bosque Verde 30L cubo mediano,1,1.45,1.45,2020-08-27,134160,family
