description,units,price_eu,unit_price,date,order_num,user
Cebolla amarilla,1,1.89,1.89,2019-02-27,125935,family
Ajo morado,1,1.2,1.2,2019-02-27,125935,family
Suavizante ropa talco Bosque Verde concentrado,1,1.79,1.79,2019-02-27,125935,family
Desodorante roll-on dermo extra control Sanex,1,1.8,1.8,2019-02-27,125935,family
Taquitos de chorizo Revilla,1,2.1,2.1,2019-02-27,125935,family
Espárragos muy gruesos Hacendado blancos enteros,1,2.53,2.53,2019-02-27,125935,family
Yogur bífidus desnatado Hacendado frutas del bosque,1,0.95,0.95,2019-02-27,125935,family
Compresa con alas normal Evax cotton like,1,3.95,3.95,2019-02-27,125935,family
Lavavajillas ultra original Fairy líquido,1,2.8,2.8,2019-02-27,125935,family
Mini taquitos de jamón Incarlopsa,1,1.95,1.95,2019-02-27,125935,family
Agua mineral Cortes,1,0.73,0.73,2019-02-27,125935,family
Fusilli Armando,1,0.95,0.95,2019-02-27,125935,family
Queso untar light blanco pasteurizado Philadelphia,1,2.1,2.1,2019-02-27,125935,family
Galletas cookies Hacendado,1,1.25,1.25,2019-02-27,125935,family
Tomate cherry,1,1.49,1.49,2019-02-27,125935,family
Limpiacristales y multiusos Bosque Verde,1,1.15,1.15,2019-02-27,125935,family
Patata,1,3.5,3.5,2019-02-27,125935,family
"Champú agua de coco Fructis raíces grasas, puntas secas",1,2.95,2.95,2019-02-27,125935,family
Arroz redondo La Fallera,1,1.35,1.35,2019-02-27,125935,family
Plátano,6,2.2,0.3666666666666667,2019-02-27,125935,family
Gel de baño oliva Deliplus piel seca,1,1.35,1.35,2019-02-27,125935,family
Dentífrico original Binaca,1,1.5,1.5,2019-02-27,125935,family
Caldo de verduras Hacendado,1,1.0,1.0,2019-02-27,125935,family
Pechuga de pavo Hacendado finas lonchas,1,2.95,2.95,2019-02-27,125935,family
Jamón serrano Incarlopsa lonchas extrafinas,1,1.99,1.99,2019-02-27,125935,family
Maíz dulce Hacendado,1,0.95,0.95,2019-02-27,125935,family
Tomate frito receta artesana Hacendado,1,1.7,1.7,2019-02-27,125935,family
Queso rallado Hacendado especial fundir,1,1.0,1.0,2019-02-27,125935,family
Hogaza 100% natural,1,1.0,1.0,2019-02-27,125935,family
Café en cápsula sontuoso L'Or Espresso,2,6.58,3.29,2019-02-27,125935,family
Chocolate con leche Lindt,1,1.15,1.15,2019-02-27,125935,family
Papel higiénico doble rollo Bosque Verde,1,3.74,3.74,2019-02-27,125935,family
Café en cápsula ristretto L'Or Espresso,3,9.87,3.29,2019-02-27,125935,family
Chocolate con leche Milka,1,1.01,1.01,2019-02-27,125935,family
Lenteja cocida Hacendado,2,1.18,0.59,2019-02-27,125935,family
Garbanzo cocido Hacendado,1,0.7,0.7,2019-02-27,125935,family
Leche desnatada Pascual,2,10.68,5.34,2019-02-27,125935,family
Pan de molde con avena Hacendado,1,1.25,1.25,2019-02-27,125935,family
Dentífrico max white one Colgate,2,5.4,2.7,2019-02-27,125935,family
Queso curado Entrepinares,1,2.66,2.66,2019-02-27,125935,family
Queso havarti light Hacendado lonchas,1,2.56,2.56,2019-02-27,125935,family
Chorizo oreado,1,1.87,1.87,2019-02-27,125935,family
Morcilla oreada d' Ontinyent,1,1.48,1.48,2019-02-27,125935,family
Aguacate,1,2.15,2.15,2019-02-27,125935,family
Longaniza fresca d' Ontinyent,1,3.06,3.06,2019-02-27,125935,family
Lomo embuchado Hacendado lonchas,1,1.71,1.71,2019-02-27,125935,family
Nuez moscada molida Hacendado,1,1.1,1.1,2019-02-27,125935,family
Placas para lasaña precocidas El Pavo,1,1.25,1.25,2019-02-27,125935,family
Placas para canelones Del Castillo,1,0.58,0.58,2019-02-27,125935,family
Pañuelos de papel extra suaves Bosque Verde,1,1.05,1.05,2019-02-27,125935,family
Spaghetti al huevo Hacendado,1,0.99,0.99,2019-02-27,125935,family
Agua mineral Bronchales grande,1,2.46,2.46,2019-02-27,125935,family
Berenjena,3,1.4,0.4666666666666666,2019-02-27,125935,family
Mozzarella fresca Hacendado,2,1.6,0.8,2019-02-27,125935,family
Pizza ibérica Hacendado ultracongelada,1,2.0,2.0,2019-02-27,125935,family
Pizza mozzarella y pesto Hacendado ultracongelada,1,2.0,2.0,2019-02-27,125935,family
Pizza masa fina 4 quesos Hacendado ultracongelada,1,2.29,2.29,2019-02-27,125935,family
Espárrago verde entero Jv ultracongelado,1,2.6,2.6,2019-02-27,125935,family
Yogur natural edulcorado Hacendado 0% materia grasa 0% sin azúcares añadidos,1,0.79,0.79,2019-02-27,125935,family
Verdura floretas de brócoli para micro,1,1.2,1.2,2019-02-27,125935,family
Pizza masa fina jamón Hacendado ultracongelada,1,2.29,2.29,2019-02-27,125935,family
Anguriñas Pescanova ultracongeladas,1,1.99,1.99,2019-02-27,125935,family
Aceitunas manzanilla rellenas de anchoa Hacendado,1,2.15,2.15,2019-02-27,125935,family
Salchichón extra Hacendado lonchas,1,1.39,1.39,2019-02-27,125935,family
Aceitunas negras cacereñas Hacendado a rodajas,1,1.5,1.5,2019-02-27,125935,family
Atún claro en aceite de oliva Hacendado,1,3.99,3.99,2019-02-27,125935,family
Patatas,1,3.85,3.85,2020-10-22,404271,family
Berenjena,3,2.08,0.6933333333333334,2020-10-22,404271,family
Brócoli,1,0.99,0.99,2020-10-22,404271,family
Zanahorias,1,0.69,0.69,2020-10-22,404271,family
Caldo de verduras Hacendado,1,1.0,1.0,2020-10-22,404271,family
Pan de molde 100% integral familiar Hacendado,1,0.95,0.95,2020-10-22,404271,family
Corazones de alcachofa Hacendado,1,2.3,2.3,2020-10-22,404271,family
Huevos grandes L,1,1.45,1.45,2020-10-22,404271,family
Plátano,6,1.94,0.3233333333333333,2020-10-22,404271,family
Sal lavavajillas Bosque Verde en grano,1,1.04,1.04,2020-10-22,404271,family
Champú anticaspa H&S cabello graso,1,2.99,2.99,2020-10-22,404271,family
Servilleta papel Bosque Verde,1,0.9,0.9,2020-10-22,404271,family
Calabacín verde,3,1.36,0.4533333333333333,2020-10-22,404271,family
Espárrago verde grueso,1,2.99,2.99,2020-10-22,404271,family
Dentífrico max white one Colgate,1,2.7,2.7,2020-10-22,404271,family
Discos desmaquillantes Deliplus redondos,2,1.9,0.95,2020-10-22,404271,family
Lavavajillas todo en 1 Fairy en pastillas,1,4.5,4.5,2020-10-22,404271,family
