product~product_type~product_volume~product_price_per_unit~product_price~product_unit~product_category~product_subcategory~product_url~product_code~collected_timestamp
Aceite de oliva 0,4º Hacendado~Garrafa~5 L~4,726 €/L~23.63~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4241/aceite-oliva-04o-hacendado-garrafa~4241~2023-03-16 15:10:36.967039
Aceite de oliva, vinagre y sal Merry 5 monodosis 10 ml aceite de oliva virgen extra, 5 monodosis 10 ml vinagre de jerez y 5 monodosis 1 gr sal~15 monodosis x 10 ml~| 20,00 €/L~Not available~2.0~pack~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4962/aceite-oliva-vinagre-sal-merry-5-monodosis-10-ml-aceite-oliva-virgen-extra-5-monodosis-10-ml-vinagre-jerez-5-monodosis-1-gr-sal-paquete~4962~2023-03-16 15:11:01.651458
Crema de vinagre balsámico de manzana Hacendado~Botella~250 g~10,80 €/kg~2.7~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/4965/crema-vinagre-balsamico-manzana-hacendado-botella~4965~2023-03-16 15:11:02.635216
Aliño viandox Knorr~Botella~160 ml~15,25 €/L~3.05~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/7104/alino-viandox-knorr-botella~7104~2023-03-16 15:11:03.844601
Sal fina Hacendado~Paquete~1 kg~0,30 €/kg~0.3~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/19731/sal-fina-hacendado-paquete~19731~2023-03-16 15:11:04.913979
Sal fina de mesa Hacendado~Bote~250 g~2,00 €/kg~0.5~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/19715/sal-fina-mesa-hacendado-bote~19715~2023-03-16 15:11:05.869910
Sal yodada fina Hacendado~Paquete~1 kg~0,30 €/kg~0.3~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/19732/sal-yodada-fina-hacendado-paquete~19732~2023-03-16 15:11:06.855903
Sal gruesa Hacendado~Not available~Not available~Not available~0.3~ud~Not Available~Compartir~https://tienda.mercadona.es/product/19733/sal-gruesa-hacendado-paquete~19733~2023-03-16 15:11:07.784233
Bicarbonato sódico Hacendado~Paquete~1 kg~1,50 €/kg~1.5~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/29007/bicarbonato-sodico-hacendado-paquete~29007~2023-03-16 15:11:09.332105
Bicarbonato sódico Hacendado~Bote~300 g~3,667 €/kg~1.1~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/29006/bicarbonato-sodico-hacendado-bote~29006~2023-03-16 15:11:10.439934
Sal marina en escamas Polasal~Bote~125 g~15,60 €/kg~1.95~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/19740/sal-marina-escamas-polasal-bote~19740~2023-03-16 15:11:11.422742
Sal gruesa para hornear Hacendado~Not available~Not available~0,475 €/kg~0.95~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/19734/sal-gruesa-hornear-hacendado-paquete~19734~2023-03-16 15:11:12.494295
Sal de ajo Hacendado~Bote~130 g~13,462 €/kg~1.75~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/34130/sal-ajo-hacendado-bote~34130~2023-03-16 15:11:13.590635
Sal de frutas sabor limón Hacendado~Bote~250 g~8,00 €/kg~2.0~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/29016/sal-frutas-sabor-limon-hacendado-bote~29016~2023-03-16 15:11:14.722647
Sal 60% menos de sodio Hacendado~Bote~250 g~8,40 €/kg~2.1~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/19713/sal-60-menos-sodio-hacendado-bote~19713~2023-03-16 15:11:15.905418
Preparado para salmón ahumado Hacendado~Bote~750 g~4,40 €/kg~3.3~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/19726/preparado-salmon-ahumado-hacendado-bote~19726~2023-03-16 15:11:17.067745
Sal rosa del Himalaya Hacendado~Not available~Not available~7,20 €/kg~1.8~ud~Aceite, especias y salsas~Aceite, vinagre y sal~https://tienda.mercadona.es/product/19701/sal-rosa-himalaya-hacendado-bote~19701~2023-03-16 15:11:18.406453
