description,units,price_eu,unit_price,date,order_num,product_code
dentifrico blanqueador sensation colgate,2,4.1,2.05,2020-10-01,466635,
jamon cocido extra hacendado finas lonchas,1,3.08,3.08,2020-10-01,466635,
lenteja cocida hacendado,2,1.18,0.59,2020-10-01,466635,
nata ligera para cocinar hacendado,1,1.32,1.32,2020-10-01,466635,
huevos grandes l,1,1.45,1.45,2020-10-01,466635,
gazpacho fresco hacendado,1,2.69,2.69,2020-10-01,466635,
garbanzo cocido hacendado,2,1.4,0.7,2020-10-01,466635,
patatas,1,3.95,3.95,2020-10-01,466635,
cebollas,1,1.3,1.3,2020-10-01,466635,
agua mineral cortes,2,1.46,0.73,2020-10-01,466635,
perfilador de cejas definidor deliplus 01,1,3.95,3.95,2018-04-12,73955,
nata ligera para cocinar hacendado,1,1.32,1.32,2018-04-12,73955,
cafe molido natural hacendado,1,1.05,1.05,2018-04-12,73955,
arroz redondo la fallera,1,1.35,1.35,2018-04-12,73955,
servilleta papel suavidad y absorcion bosque verde,1,0.99,0.99,2018-04-12,73955,
platano,4,1.82,0.455,2018-04-12,73955,
discos desmaquillantes deliplus redondos,1,0.95,0.95,2018-04-12,73955,
protegeslip normal deliplus,1,1.95,1.95,2018-04-12,73955,
compresa con alas normal evax cotton like,1,3.95,3.95,2018-04-12,73955,
aceite de oliva virgen hacendado,1,9.3,9.3,2018-04-12,73955,
huevos grandes l,1,1.45,1.45,2018-04-12,73955,
yogur bifidus desnatado hacendado frutas del bosque,1,0.95,0.95,2018-04-12,73955,
yogur natural azucarado hacendado,1,1.44,1.44,2018-04-12,73955,
azucar moreno de cana integral acor,1,1.87,1.87,2018-04-12,73955,
fregasuelos pino bosque verde liquido,1,0.68,0.68,2018-04-12,73955,
ajo morado,1,1.75,1.75,2018-04-12,73955,
cebolla amarilla,1,1.29,1.29,2018-04-12,73955,
pan de molde con avena hacendado,1,1.25,1.25,2018-04-12,73955,
esparragos muy gruesos hacendado blancos enteros,1,2.53,2.53,2018-04-12,73955,
alubia cocida blanca hacendado,2,1.18,0.59,2018-04-12,73955,
agua mineral cortes,1,0.73,0.73,2018-04-12,73955,
garbanzo cocido hacendado,2,1.4,0.7,2018-04-12,73955,
maiz dulce hacendado,1,0.95,0.95,2018-04-12,73955,
cafe en capsula sontuoso l'or espresso,2,6.58,3.29,2018-04-12,73955,
arroz cocido integral brillante,1,1.1,1.1,2018-04-12,73955,
tomate frito receta artesana hacendado,1,1.7,1.7,2018-04-12,73955,
chocolate con leche lindt,1,1.15,1.15,2018-04-12,73955,
leche desnatada pascual,1,5.34,5.34,2018-04-12,73955,
papel higienico doble rollo bosque verde,1,3.74,3.74,2018-04-12,73955,
jamon serrano incarlopsa lonchas extra finas,1,1.99,1.99,2018-04-12,73955,
queso rallado entrepinares,2,2.0,1.0,2018-04-12,73955,
lenteja cocida hacendado,2,1.18,0.59,2018-04-12,73955,
hogaza 100% natural,1,1.0,1.0,2018-04-12,73955,
cafe en capsula ristretto l'or espresso,3,9.87,3.29,2018-04-12,73955,
albondigas de carne tenedor plata ultracongeladas,1,1.6,1.6,2018-04-12,73955,
morcilla oreada d' ontinyent,1,1.39,1.39,2018-04-12,73955,
azucar moreno de cana integral acor,1,1.87,1.87,2019-05-22,185199,
spaghetti hacendado,2,1.5,0.75,2019-05-22,185199,
albaricoque,1,0.21,0.21,2019-05-22,185199,
salmon marinado ubago,1,2.35,2.35,2019-05-22,185199,
tomate frito hacendado,1,0.8,0.8,2019-05-22,185199,
nata ligera para cocinar hacendado,1,1.32,1.32,2019-05-22,185199,
salchichon extra hacendado lonchas,1,1.39,1.39,2019-05-22,185199,
mozzarella fresca hacendado,2,1.6,0.8,2019-05-22,185199,
arroz cocido integral brillante,1,1.1,1.1,2019-05-22,185199,
lavavajillas ultra original fairy liquido,1,2.8,2.8,2019-05-22,185199,
angurinas pescanova ultracongeladas,1,2.19,2.19,2019-05-22,185199,
"champu agua de coco fructis raices grasas, puntas secas",1,2.95,2.95,2019-05-22,185199,
chocolate con leche lindt,1,1.25,1.25,2019-05-22,185199,
yogur bifidus desnatado hacendado frutas del bosque,1,0.95,0.95,2019-05-22,185199,
platano,5,1.77,0.354,2019-05-22,185199,
compresa con alas normal evax cotton like,1,3.95,3.95,2019-05-22,185199,
nispero,1,1.56,1.56,2019-05-22,185199,
queso havarti light hacendado lonchas,1,2.48,2.48,2019-05-22,185199,
