description,units,price_eu,unit_price,date,order_num,user,product_code
lenteja cocida pardina hacendado,2,0.98,0.49,2020-10-22,404271,user2,
pan de molde espelta 100% integral hacendado,1,1.1,1.1,2020-10-22,404271,user2,
gelatina 0% azúcar sabor fresa hacendado,1,0.98,0.98,2020-10-22,404271,user2,
quinoa cocida blanca y roja hacendado,1,1.35,1.35,2020-10-22,404271,user2,
yogur cremoso hacendado natural edulcorado,1,1.3,1.3,2020-10-22,404271,user2,
papel higiénico doble rollo bosque verde,1,3.82,3.82,2020-10-22,404271,user2,
hamburguesas de vacuno gruesas,2,6.24,3.12,2020-10-01,466635,user2,
dentífrico blanqueador sensation colgate,2,4.1,2.05,2020-10-01,466635,user2,
jamón cocido extra hacendado finas lonchas,1,3.08,3.08,2020-10-01,466635,user2,
lenteja cocida hacendado,2,1.18,0.59,2020-10-01,466635,user2,
nata ligera para cocinar hacendado,1,1.32,1.32,2020-10-01,466635,user2,
huevos grandes l,1,1.45,1.45,2020-10-01,466635,user2,
gazpacho fresco hacendado,1,2.69,2.69,2020-10-01,466635,user2,
garbanzo cocido hacendado,2,1.4,0.7,2020-10-01,466635,user2,
servilleta papel bosque verde,1,0.92,0.92,2020-10-01,466635,user2,
patatas,1,3.95,3.95,2020-10-01,466635,user2,
cebollas,1,1.3,1.3,2020-10-01,466635,user2,
agua mineral cortes,2,1.46,0.73,2020-10-01,466635,user2,
perfilador de cejas definidor deliplus 01,1,3.95,3.95,2018-04-12,73955,user2,
nata ligera para cocinar hacendado,1,1.32,1.32,2018-04-12,73955,user2,
café molido natural hacendado,1,1.05,1.05,2018-04-12,73955,user2,
arroz redondo la fallera,1,1.35,1.35,2018-04-12,73955,user2,
papel higiénico húmedo wc bosque verde,1,1.74,1.74,2018-04-12,73955,user2,
servilleta papel suavidad y absorción bosque verde,1,0.99,0.99,2018-04-12,73955,user2,
plátano,4,1.82,0.455,2018-04-12,73955,user2,
discos desmaquillantes deliplus redondos,1,0.95,0.95,2018-04-12,73955,user2,
protegeslip normal deliplus,1,1.95,1.95,2018-04-12,73955,user2,
aceite de oliva virgen hacendado,1,9.3,9.3,2018-04-12,73955,user2,
huevos grandes l,1,1.45,1.45,2018-04-12,73955,user2,
yogur bífidus desnatado hacendado frutas del bosque,1,0.95,0.95,2018-04-12,73955,user2,
yogur natural azucarado hacendado,1,1.44,1.44,2018-04-12,73955,user2,
azúcar moreno de caña integral acor,1,1.87,1.87,2018-04-12,73955,user2,
fregasuelos pino bosque verde líquido,1,0.68,0.68,2018-04-12,73955,user2,
ajo morado,1,1.75,1.75,2018-04-12,73955,user2,
cebolla amarilla,1,1.29,1.29,2018-04-12,73955,user2,
pan de molde con avena hacendado,1,1.25,1.25,2018-04-12,73955,user2,
espárragos muy gruesos hacendado blancos enteros,1,2.53,2.53,2018-04-12,73955,user2,
alubia cocida blanca hacendado,2,1.18,0.59,2018-04-12,73955,user2,
agua mineral cortes,1,0.73,0.73,2018-04-12,73955,user2,
garbanzo cocido hacendado,2,1.4,0.7,2018-04-12,73955,user2,
maíz dulce hacendado,1,0.95,0.95,2018-04-12,73955,user2,
café en cápsula sontuoso l'or espresso,2,6.58,3.29,2018-04-12,73955,user2,
arroz cocido integral brillante,1,1.1,1.1,2018-04-12,73955,user2,
tomate frito receta artesana hacendado,1,1.7,1.7,2018-04-12,73955,user2,
chocolate con leche lindt,1,1.15,1.15,2018-04-12,73955,user2,
leche desnatada pascual,1,5.34,5.34,2018-04-12,73955,user2,
papel higiénico doble rollo bosque verde,1,3.74,3.74,2018-04-12,73955,user2,
