description,units,price_eu,unit_price,date,order_num
Papel multiusos resistente Bosque Verde,2,5.4,2.7,2021-04-16,8135057
Colgador WC azul perfume marino Bosque Verde,1,1.2,1.2,2021-04-16,8135057
Papel de aluminio Bosque Verde,1,2.9,2.9,2021-04-16,8135057
Recambio antihumedad Bosque Verde con aromas cítricos,1,2.0,2.0,2021-04-16,8135057
Azúcar moreno de caña Acor,1,1.7,1.7,2021-04-16,8135057
Fregona resistente y absorbente Bosque Verde,2,3.4,1.7,2021-04-16,8135057
Multiusos desinfectante antibacterias Bosque Verde,2,3.9,1.95,2021-04-16,8135057
Servilleta papel Bosque Verde,2,1.8,0.9,2021-04-16,8135057
Detergente ropa jabón natural de Marsella Bosque Verde líquido,2,8.4,4.2,2021-04-16,8135057
Aceite de oliva virgen extra Hacendado,4,38.0,9.5,2021-04-16,8135057
Curry Hacendado,1,0.62,0.62,2020-07-11,6947878
Bayeta cristales y espejos Bosque Verde microfibra,2,1.7,0.85,2020-07-11,6947878
Escoba fibras cruzadas Bosque Verde,1,2.1,2.1,2020-07-11,6947878
Limpiador cal y suciedad Cillit Bang,1,2.99,2.99,2020-07-11,6947878
Estropajo acero inoxidable Bosque Verde,2,1.4,0.7,2020-07-11,6947878
Bolsa de basura Bosque Verde 30L cubo mediano,2,2.9,1.45,2020-07-11,6947878
Desatascador de tuberías Bosque Verde en gel,1,1.75,1.75,2020-07-11,6947878
Toallitas limpiadoras de suelo Bosque Verde,1,1.6,1.6,2020-07-11,6947878
Papel vegetal Bosque Verde,2,2.6,1.3,2020-07-11,6947878
Sal fina Hacendado,2,0.46,0.23,2020-07-11,6947878
Limpiador baños Bosque Verde en gel,1,1.3,1.3,2020-07-11,6947878
Limpiador WC con lejía Bosque Verde en gel,1,1.23,1.23,2020-07-11,6947878
Servilleta papel Bosque Verde,2,1.8,0.9,2020-07-11,6947878
Activador del lavado ropa blanca Bosque Verde en gel,1,1.6,1.6,2020-07-11,6947878
Suavizante ropa talco Bosque Verde concentrado,2,3.58,1.79,2020-07-11,6947878
Lavavajillas aloe Bosque Verde concentrado,1,1.55,1.55,2020-07-11,6947878
Lejía con detergente Bosque Verde,1,0.71,0.71,2020-07-11,6947878
Friegasuelos pino Bosque Verde líquido,1,0.65,0.65,2020-07-11,6947878
