description,units,price_eu,unit_price,date,order_num
Lavavajillas Ultra concentrado Bosque Verde,1,1.8,1.8,2021-12-16,10822769
Salchichas cocidas hot dog bocadillo Oscar Mayer Classic de pollo y cerdo sabor ahumado,1,1.49,1.49,2021-12-16,10822769
Jamón cocido extra Hacendado finas lonchas,1,2.89,2.89,2021-12-16,10822769
Jamón serrano Incarlopsa lonchas extrafinas,2,4.38,2.19,2021-12-16,10822769
Brócoli Hacendado ultracongelado,1,1.2,1.2,2021-12-16,10822769
Caramelos blandos rellenos Dolis,1,1.58,1.58,2021-09-07,9115773
Arroz redondo Hacendado,1,0.79,0.79,2021-09-07,9115773
Patatas fritas receta campesina Lay's,1,1.56,1.56,2021-09-07,9115773
Patatas fritas onduladas Hacendado sabor jamón serrano,1,0.9,0.9,2021-09-07,9115773
Patatas fritas extra crujientes Hacendado,1,1.35,1.35,2021-09-07,9115773
Pipas girasol tijuana Grefusa,2,2.9,1.45,2021-09-07,9115773
Palomitas de maíz con sal Hacendado para microondas,1,0.7,0.7,2021-09-07,9115773
Aceitunas manzanilla rellenas de anchoa Hacendado,1,2.15,2.15,2021-09-07,9115773
Vino tinto D.O Ribera del Duero Abadía Mantrús roble,1,3.15,3.15,2021-09-07,9115773
Vino tinto Merlot Mar de Uvas,1,2.4,2.4,2021-09-07,9115773
Queso Emmental Natual,1,2.15,2.15,2021-09-07,9115773
Endibias,1,1.42,1.42,2021-09-07,9115773
Queso bola Edam tierno Holland Corona,1,2.9,2.9,2021-09-07,9115773
Arándanos,2,5.58,2.79,2021-09-07,9115773
Cereales rellenos de leche Hacendado,1,1.89,1.89,2021-09-07,9115773
Zumo de melocotón y uva Hacendado,2,1.16,0.58,2021-09-07,9115773
Picos saladitos Hacendado,5,5.0,1.0,2021-09-07,9115773
Mozzarella di bufala campana Hacendado,1,1.7,1.7,2021-09-07,9115773
Perlas de mozzarella fresca Hacendado,2,3.4,1.7,2021-09-07,9115773
Ensalada mezcla brotes tiernos,2,1.98,0.99,2021-09-07,9115773
Pipas de girasol fritas Hacendado peladas,1,0.9,0.9,2021-09-07,9115773
Desodorante roll-on invisible black & white Nivea,1,1.85,1.85,2021-09-07,9115773
Dentífrico Triple Acción Colgate con flúor,3,4.2,1.4000000000000001,2021-09-07,9115773
Agua mineral con gas grande Vichy Catalan,1,1.18,1.18,2021-09-07,9115773
Pañales bebé talla 5 de 13-18 kg Deliplus,1,15.0,15.0,2021-09-07,9115773
Lomo de bacalao sin espinas Hacendado congelado,2,10.5,5.25,2021-09-07,9115773
Jamoncitos de pollo congelados,1,2.6,2.6,2021-09-07,9115773
Hélices con vegetales Hacendado,2,1.9,0.95,2021-09-07,9115773
Atún claro en aceite de oliva Hacendado,2,8.0,4.0,2021-09-07,9115773
Edamame soja verde Hacendado ultracongelada,1,1.6,1.6,2021-09-07,9115773
Galletas Chocominis sabor chocolate Hacendado,1,1.75,1.75,2021-09-07,9115773
Galletas caocream chocolate blanco Hacendado rellenas de crema,1,1.05,1.05,2021-09-07,9115773
Cereales de arroz inflado Choco Krispies Kellogg's con chocolate,1,2.99,2.99,2021-09-07,9115773
Loción corporal hydra & go Deliplus,1,3.6,3.6,2021-09-07,9115773
Crema protección solar rostro y labios Sun Med FPS 30,1,3.95,3.95,2021-09-07,9115773
Protector solar Seesee FPS 30,1,5.0,5.0,2021-09-07,9115773
Protector solar infantil Sun Med FPS 50+,1,5.8,5.8,2021-09-07,9115773
Toallitas desodorantes con aloe vera Deliplus,1,1.0,1.0,2021-09-07,9115773
Desodorante cuidado aloe Deliplus,1,1.2,1.2,2021-09-07,9115773
Desodorante cuidado aloe Deliplus,3,4.2,1.4000000000000001,2021-09-07,9115773
Desodorante stick hombre ice blue Williams,1,1.9,1.9,2021-09-07,9115773
Bandas de cera especial piernas Deliplus piel sensible,1,1.55,1.55,2021-09-07,9115773
Crema depilatoria Deliplus piel sensible,1,2.6,2.6,2021-09-07,9115773
Crema facial hidratante equilibrante Deliplus piel normal a grasa,1,2.5,2.5,2021-09-07,9115773
Champú Hidratación Intensa TRESemmé cabello seco o dañado,1,4.5,4.5,2021-09-07,9115773
Acondicionador Liso Keratina TRESemmé,1,4.65,4.65,2021-09-07,9115773
Chocolate con leche Nestlé,2,1.9,0.95,2021-09-07,9115773
Azúcar blanco,2,1.46,0.73,2021-09-07,9115773
Tomate triturado Hacendado,3,1.35,0.45,2021-09-07,9115773
Sardinas en aceite de oliva Hacendado,1,1.3,1.3,2021-09-07,9115773
Yogur líquido desnatado de fresa Hacendado 0% materia grasa 0% azúcares añadidos,1,1.16,1.16,2021-09-07,9115773
Toallitas bebé frescas & perfumadas Deliplus,1,0.95,0.95,2021-09-07,9115773
Toallitas desmaquillantes cara y ojos Deliplus piel normal-mixta,1,1.0,1.0,2021-09-07,9115773
Tomates cherry,1,1.49,1.49,2021-09-07,9115773
Patatas,1,4.19,4.19,2021-09-07,9115773
Yogur natural azucarado Danone,2,3.98,1.99,2021-09-07,9115773
Huevos grandes L,3,8.85,2.9499999999999997,2021-09-07,9115773
Fideos orientales Yatekomo de pollo Gallina Blanca,1,2.85,2.85,2021-09-07,9115773
