categoria,subcategoria,descripcion,unidades,precio
Agua y refrescos,Isotónico y energético,Bebida isotónica limón Aquarius,8 latas x 330 ml,"6,80 €6,24 € /pack"
Agua y refrescos,Isotónico y energético,Bebida isotónica limón Aquarius,8 latas x 330 ml,"6,80 €6,24 € /pack"
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de oliva 0,4º Hacendado",Botella 1 L,"9,25 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado,Garrafa 3 L,"29,55 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado,Botella 1 L,"9,90 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado Gran Selección,Botella 750 ml,"8,10 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva 1º Hacendado,Botella 1 L,"9,25 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen Hacendado,Garrafa 3 L,"28,50 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen Hacendado,Botella 1 L,"9,55 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva suave Hacendado,Garrafa 3 L,"27,60 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva intenso Hacendado,Garrafa 3 L,"27,60 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Hacendado,Spray 200 ml,"3,30 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva virgen extra Picual Casa Juncal,Botella 500 ml,"7,85 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol refinado 0,2º Hacendado",Garrafa 5 L,"6,95 €6,75 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol refinado 0,2º Hacendado",Botella 1 L,"1,45 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de coco virgen Hacendado,Bote 450 ml,"4,40 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de vino blanco Hacendado,Botella 1 L,"0,75 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de manzana Hacendado,Botella 1 L,"0,90 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Limón exprimido Hacendado,Botella 280 ml,"1,00 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Crema de vinagre balsámico de Módena Hacendado,Botella 250 g,"1,75 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de Jerez reserva Hacendado,Botella 250 ml,"2,00 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Bebida aromatizada a base de vino para cocinar Abuela Carola,Botella 750 ml,"2,35 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de vino tinto Hacendado,Botella 1 L,"1,00 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Reducción de vinagre Pedro Ximénez Hacendado,Botella 300 g,"2,25 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de oliva, vinagre y sal Merry",15 monodosis x 10 ml,"2,20 € /pack"
"Aceite, especias y salsas","Aceite, vinagre y sal",Aliño viandox Knorr,Botella 160 ml,"3,05 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre balsámico de Módena Hacendado,Botella 500 ml,"2,50 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre de manzana Hacendado sin filtrar,Botella 500 ml,"1,70 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal fina Hacendado,Paquete 1 kg,"0,35 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal fina de mesa Hacendado,Bote 250 g,"0,60 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal yodada fina Hacendado,Paquete 1 kg,"0,35 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal gruesa Hacendado,Paquete 1 kg,"0,35 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Bicarbonato sódico Hacendado,Paquete 1 kg,"1,50 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Bicarbonato sódico Hacendado,Bote 300 g,"1,10 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal marina en escamas Polasal,Bote 125 g,"2,00 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal gruesa para hornear Hacendado,Paquete 2 kg,"0,95 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal de ajo Hacendado,Bote 130 g,"1,80 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal de frutas sabor limón Hacendado,Bote 250 g,"2,10 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal 60% menos de sodio Hacendado,Bote 250 g,"2,30 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Preparado para salmón ahumado Hacendado,Bote 750 g,"3,30 € /ud."
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal rosa del Himalaya Hacendado,Bote 250 g,"1,80 € /ud."
"Aceite, especias y salsas",Especias,Orégano Hacendado,Bote 25 g,"0,95 € /ud."
"Aceite, especias y salsas",Especias,Perejil Hacendado,Bote 18 g,"0,95 €0,90 € /ud."
"Aceite, especias y salsas",Especias,Hoja de laurel Hacendado,Paquete 12 g,"0,80 € /ud."
"Aceite, especias y salsas",Especias,Hierbas provenzales Hacendado,Bote 25 g,"1,20 € /ud."
"Aceite, especias y salsas",Especias,Albahaca Hacendado,Bote 20 g,"1,25 € /ud."
"Aceite, especias y salsas",Especias,Romero Hacendado,Bote 40 g,"1,35 € /ud."
"Aceite, especias y salsas",Especias,Tomillo Hacendado,Bote 24 g,"1,05 € /ud."
"Aceite, especias y salsas",Especias,Eneldo Hacendado,Bote 18 g,"1,85 € /ud."
"Aceite, especias y salsas",Especias,Cilantro Hacendado,Bote 12 g,"1,85 € /ud."
"Aceite, especias y salsas",Especias,Ajo y Perejil Hacendado,Bote 74 g,"1,35 € /ud."
"Aceite, especias y salsas",Especias,Colorante alimentario Hacendado,Bote 85 g,"0,90 € /ud."
"Aceite, especias y salsas",Especias,Pimentón dulce Hacendado,Bote 56 g,"1,00 € /ud."
"Aceite, especias y salsas",Especias,Pimentón dulce Hacendado,Bote 75 g,"1,40 € /ud."
"Aceite, especias y salsas",Especias,Pimentón dulce de la Vera Hacendado,Bote 75 g,"1,75 € /ud."
"Aceite, especias y salsas",Especias,Azafrán molido Hacendado,"Paquete 4 sobres (0,4 g)","1,75 € /ud."
"Aceite, especias y salsas",Especias,Azafrán hebra Hacendado,"Paquete 3 usos (0,38 g)","1,70 € /ud."
"Aceite, especias y salsas",Especias,Pimentón picante Hacendado,Bote 60 g,"1,35 € /ud."
"Aceite, especias y salsas",Especias,Pimienta negra molida Hacendado,Bote 70 g,"1,05 € /ud."
"Aceite, especias y salsas",Especias,Molinillo pimienta negra Hacendado,Bote 65 g,"1,65 € /ud."
"Aceite, especias y salsas",Especias,Pimienta negra en grano Hacendado,Bote 70 g,"1,45 € /ud."
"Aceite, especias y salsas",Especias,Molinillo mix pimientas Hacendado,Bote 50 g,"1,85 € /ud."
"Aceite, especias y salsas",Especias,Pimienta blanca molida Hacendado,Bote 70 g,"2,15 € /ud."
"Aceite, especias y salsas",Especias,Ajo granulado Hacendado,Bote 115 g,"1,15 €1,10 € /ud."
"Aceite, especias y salsas",Especias,Cebolla frita crujiente Hacendado,Bote 150 g,"1,15 € /ud."
"Aceite, especias y salsas",Especias,Canela molida Hacendado,Bote 52 g,"0,95 € /ud."
"Aceite, especias y salsas",Especias,Canela en rama Hacendado,Bote 19 g,"1,45 € /ud."
"Aceite, especias y salsas",Especias,Comino molido Hacendado,Bote 58 g,"1,20 € /ud."
"Aceite, especias y salsas",Especias,Comino en grano Hacendado,Bote 56 g,"1,95 € /ud."
"Aceite, especias y salsas",Especias,Curry Hacendado,Bote 57 g,"1,15 € /ud."
"Aceite, especias y salsas",Especias,Nuez moscada molida Hacendado,Bote 58 g,"1,65 € /ud."
"Aceite, especias y salsas",Especias,Cebolla en polvo Hacendado,Bote 60 g,"0,96 € /ud."
"Aceite, especias y salsas",Especias,Cayena guindillas Hacendado,Bote 27 g,"1,30 € /ud."
"Aceite, especias y salsas",Especias,Cayena molida Hacendado,Bote 55 g,"1,59 € /ud."
"Aceite, especias y salsas",Especias,Cúrcuma Hacendado,Bote 60 g,"1,25 € /ud."
"Aceite, especias y salsas",Especias,Jengibre molido Hacendado,Bote 49 g,"1,65 € /ud."
"Aceite, especias y salsas",Especias,Sal de ajo Hacendado,Bote 130 g,"1,80 € /ud."
"Aceite, especias y salsas",Especias,Clavo en grano Hacendado,Bote 42 g,"1,75 € /ud."
"Aceite, especias y salsas",Especias,Piñones Hacendado,Bote 70 g,"2,84 € /ud."
"Aceite, especias y salsas",Especias,Picada catalana Hacendado,Bote 25 g,"1,95 € /ud."
"Aceite, especias y salsas",Especias,Sazonador para fajitas Hacendado sabor tex-mex,Sobre 17 g,"0,85 € /ud."
"Aceite, especias y salsas",Especias,Sazonador ajo y limón Hacendado para carne y pescado,Sobre 30 g,"1,05 € /ud."
"Aceite, especias y salsas",Especias,Sazonador hierbas provenzales Hacendado para pollo y costillas,Sobre 24 g,"1,00 € /ud."
"Aceite, especias y salsas",Especias,Sazonador sabor barbacoa Hacendado para carne,Sobre 57 g,"1,35 € /ud."
"Aceite, especias y salsas",Especias,Sazonador para paella con azafrán Hacendado,Caja 5 sobres (20 g),"1,45 € /ud."
"Aceite, especias y salsas",Especias,Sazonador para burritos Hacendado,Sobre 40 g,"1,30 € /ud."
"Aceite, especias y salsas",Especias,Sazonador pollo y carne Hacendado,Bote 76 g,"1,50 € /ud."
"Aceite, especias y salsas",Especias,Sazonador pasta Hacendado,Bote 45 g,"2,50 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hacendado,Tarro 500 ml,"1,25 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hacendado,Tarro 240 ml,"1,00 €0,95 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hacendado,Bote 460 ml,"1,35 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa en sobres individuales,12 sobres x 20 ml,"1,25 € /pack"
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hellmann's,Tarro 450 ml,"3,25 €2,95 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Hellmann's,Tarro 225 ml,"1,95 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Ligeresa,Tarro 425 ml,"2,65 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Ligeresa,Tarro 210 ml,"1,55 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Ligeresa,Bote 430 ml,"2,65 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mayonesa Ybarra,Bote 500 ml,"2,25 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa fina Kraft,Tarro 425 ml,"2,00 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Hacendado,Tarro 500 ml,"1,30 €1,20 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Salsa ligera Hacendado,Bote 460 ml,"1,35 €1,25 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Ketchup Hacendado,Bote 600 g,"1,30 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Ketchup Hacendado en sobres individuales,Paquete 12 sobres (240 g),"1,40 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Ketchup Heinz,Bote 650 g,"3,50 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Ketchup zero azúcares añadidos Hacendado,Bote 600 g,"1,60 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mostaza a la antigua Hacendado,Tarro 200 g,"1,70 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mostaza de Dijon Hacendado,Tarro 200 g,"1,25 € /ud."
