categoria,subcategoria,descripcion,unidades,precio,marca
Despensa,Aperitivos y frutos secos,Aperitivo de Maíz Pelotazos Sabor Queso 130 Gr,"14,54 € / 1 Kg","1,89 €",CHEETOS
Despensa,Aperitivos y frutos secos,Aperitivo Frito Pandilla Sabor Queso 75 Gr,"25,20 € / 1 Kg","1,89 €",CHEETOS
Despensa,Aperitivos y frutos secos,Aceitunas Manzanilla sin Hueso Bolsa 75 Gr,"12,00 € / 1 Kg","0,90 €",JOLCA
Despensa,Aperitivos y frutos secos,Apetinas Ketchup Bolsa 90 Gr,"15,44 € / 1 Kg","1,39 €",TOSFRIT
Despensa,Aperitivos y frutos secos,Patatas Fritas Lisas Artesanas Bolsa Papel 2 x 135 Gr,"11,81 € / 1 Kg","3,19 €",SANTA ANA
Despensa,Aperitivos y frutos secos,Aceitunas Negras Hueso Lata 185 Gr,"6,76 € / 1 Kg","1,25 €",CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Rellenas de Anchoas 150 Gr,"7,60 € / 1 Kg","1,14 €",CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Rellenas de Anchoas Pack de 3 3 x 50 Gr,"11,67 € / 1 Kg","1,75 €",CONSUM
Despensa,Aperitivos y frutos secos,Pipas Tostadas con Sal Bolsa 250 Gr,"5,80 € / 1 Kg","1,45 €",CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Manzanilla con Hueso en Frasco 250 Gr,"7,00 € / 1 Kg","1,75 €",CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Sabor Anchoa con Hueso en Frasco 250 Gr,"7,80 € / 1 Kg","1,95 €",CONSUM
Despensa,Aperitivos y frutos secos,Tortilla Chip Sal 200 Gr,"8,25 € / 1 Kg","1,65 €",ZANUY
Despensa,Aperitivos y frutos secos,Aceitunas Rellenas de Anchoas Pack de 3 3 x 50 Gr,"21,00 € / 1 Kg","3,15 €",JOLCA
Despensa,Aperitivos y frutos secos,Aceitunas Rellenas Anchoa Cantábrico Lata 150 Gr,"15,93 € / 1 Kg","2,39 €",JOLCA
Despensa,Aperitivos y frutos secos,Mega Mix Snacks Bolsa 140 Gr,"7,86 € / 1 Kg","1,10 €",CONSUM
Despensa,Aperitivos y frutos secos,Conos de Maíz Sabor Queso-Bacon 80 Gr,"8,13 € / 1 Kg","0,65 €",CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Lisas Bolsa Papel 300 Gr,"5,83 € / 1 Kg","1,75 €",CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Lisas Ligeras Bolsa 130 Gr,"9,15 € / 1 Kg","1,19 €",CONSUM
